Team 1,Team 1 Score,Team 2,Team 2 Score,Date
Long Beach St.,,Hawaii,,04-03-2020
George Mason,,Sacred Heart,,04-03-2020
Lees-McRae,,North Greenville,,04-03-2020
Daemen,,Vassar,,04-04-2020
Grand Canyon,,Stanford,,04-04-2020
UCLA,,Southern California,,04-04-2020
CSUN,,UC San Diego,,04-04-2020
Ohio St.,,Lewis,,04-04-2020
Penn St.,,Princeton,,04-04-2020
Lindenwood (MO),,Purdue Fort Wayne,,04-04-2020
Long Beach St.,,Hawaii,,04-04-2020
Pepperdine,,Concordia (CA),,04-04-2020
Saint Francis (PA),,NJIT,,04-04-2020
Belmont Abbey,,Erskine,,04-04-2020
George Mason,,Sacred Heart,,04-04-2020
Ball St.,,McKendree,,04-04-2020
Charleston (WV),,Harvard,,04-04-2020
Queens (NC),,Limestone,,04-04-2020
Baruch,,Daemen,,04-04-2020
Urbana,,Trine,,04-04-2020
Urbana,,Adrian,,04-04-2020
King (TN),,Emmanuel (GA),,04-04-2020
Quincy,,Loyola Chicago,,04-04-2020
Springfield,,Sacred Heart,,04-07-2020
Emmanuel (GA),,Erskine,,04-07-2020
Limestone,,King (TN),,04-07-2020
Mount Olive,,Barton,,04-07-2020
North Greenville,,Belmont Abbey,,04-07-2020
Queens (NC),,Lees-McRae,,04-08-2020
Southern California,,Grand Canyon,,04-09-2020
Lewis,,Lindenwood (MO),,04-09-2020
Loyola Chicago,,Ball St.,,04-09-2020
Stanford,,UCLA,,04-09-2020
McKendree,,Quincy,,04-09-2020
Purdue Fort Wayne,,Ohio St.,,04-09-2020
Queens (NC),,King (TN),,04-09-2020
BYU,,Pepperdine,,04-09-2020
George Mason,,NJIT,,04-10-2020
King (TN),,Charleston (WV),,04-10-2020
Long Beach St.,,UC San Diego,,04-10-2020
Harvard,,Penn St.,,04-10-2020
CSUN,,UC Irvine,,04-10-2020
Sacred Heart,,Saint Francis (PA),,04-10-2020
Hawaii,,UC Santa Barbara,,04-10-2020
Urbana,,Charleston (WV),,04-11-2020
Harvard,,Saint Francis (PA),,04-11-2020
Concordia (CA),,Grand Canyon,,04-11-2020
Sacred Heart,,Penn St.,,04-11-2020
Lewis,,Quincy,,04-11-2020
Stanford,,Pepperdine,,04-11-2020
BYU,,UCLA,,04-11-2020
McKendree,,Lindenwood (MO),,04-11-2020
Loyola Chicago,,Ohio St.,,04-11-2020
UC San Diego,,Long Beach St.,,04-11-2020
UC Irvine,,CSUN,,04-11-2020
Purdue Fort Wayne,,Ball St.,,04-11-2020
George Mason,,Princeton,,04-11-2020
Hawaii,,UC Santa Barbara,,04-11-2020
Saint Francis (PA),,George Mason,,04-16-2020
Penn St.,,Charleston (WV),,04-16-2020
NJIT,,Sacred Heart,,04-17-2020
UC Santa Barbara,,UC San Diego,,04-17-2020
UC Irvine,,Hawaii,,04-17-2020
Long Beach St.,,CSUN,,04-17-2020
Princeton,,Harvard,,04-17-2020
Princeton,,Sacred Heart,,04-18-2020
NJIT,,Harvard,,04-18-2020
Saint Francis (PA),,Charleston (WV),,04-18-2020
Penn St.,,George Mason,,04-18-2020
UC Irvine,,Hawaii,,04-18-2020
CSUN,,Long Beach St.,,04-18-2020
