Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
88,"Stanislaw Chacinski, Ohio St. (MIVA)",Fr.,6-7,OH,91,292,96,598,6.57
89,"Ties Cornelissen, CUI (MPSF)",So.,6-6,OH,68,187,69,446,6.56
90,"Carter Shomock, North Greenville (Conference Carolinas)",Fr.,6-5,OPP,63,171,88,413,6.56
91,"Philip Tein, Barry (DI Independent)",Fr.,6-5,OH,74,180,95,483,6.53
92,"Nikos Xydakis, McKendree (MIVA)",Sr.,6-6,OPP,95,248,112,620,6.53
93,"Kai Vogel, Merrimack (DI Independent)",So.,6-3,OH,59,177,62,383,6.49
94,"Thomas Roper, North Greenville (Conference Carolinas)",So.,6-4,OH,72,176,103,466,6.47
95,"Jaron Popp, Sacred Heart (EIVA)",So.,6-4,OH,70,170,121,449,6.41
96,"Jaedyn Harris, Central St. (OH) (SIAC)",So.,6-2,OH,74,189,112,474,6.41
97,"Grant Dvorak, Vanguard  (MPSF)",So.,6-6,S,64,177,92,408,6.38
98,"Barnabas Fenyvesi, Quincy (MIVA)",So.,6-5,OH,78,181,93,492,6.31
99,"Joonatan Salpakari, Charleston (WV) (EIVA)",Jr.,6-3,L,77,174,93,485,6.30
100,"Josh Schellinger, UC San Diego (Big West)",Jr.,6-5,OH,86,257,102,537,6.24
