Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
21,"Daniel Fabikovic, Loyola Chicago (MIVA)",Fr.,6-6,OH,95,273,78,591,0.330
22,"Paul Fillion, Roberts Wesleyan (ECC)",Fr.,6-4,MH,82,192,63,391,0.330
23,"Isaiah Fedd, Fort Valley St. (SIAC)",So.,6-3,OH,59,195,71,377,0.329
24,"Alaka‘i Todd, Hawaii (Big West)",Sr.,6-8,OPP,97,305,98,630,0.329
25,"Jacob Pasteur, Ohio St. (MIVA)",Sr.,6-4,OH,110,390,138,770,0.327
26,"Tinaishe Ndavazocheva, Ball St. (MIVA)",Jr.,6-6,OH,81,327,102,693,0.325
27,"Mark Frazier, Purdue Fort Wayne (MIVA)",Jr.,6-6,MB,98,377,129,765,0.324
28,"Jackson Hickman, Grand Canyon (MPSF)",Sr.,6-4,OH,110,317,101,672,0.321
29,"Jake Read, Loyola Chicago (MIVA)",Fr.,6-4,OH,83,211,64,458,0.321
30,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,74,275,68,647,0.320
31,"Clay Wieter, Lindenwood (MIVA)",Sr.,6-6,OH,101,327,103,703,0.319
32,"Haven Wankerl, D'Youville (NEC)",So.,6-4,MB,81,139,51,278,0.317
33,"Alain Tamo-Noche, Central St. (OH) (SIAC)",Jr.,6-1,OH,105,183,71,356,0.315
34,"Maverick O'Neil, Daemen (NEC)",Jr.,6-3,MH,69,116,43,233,0.313
35,"Raje Alleyne, Quincy (MIVA)",Jr.,6-6,OPP,83,366,135,742,0.311
