Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
71,"Justin Gregory, Mount Olive (Conference Carolinas)",Sr.,6-6,OPP,84,222,82,548,6.52
72,"Miks Ramanis, BYU (MPSF)",Jr.,6-4,OH,83,239,89,540,6.51
73,"Alaka‘i Todd, Hawaii (Big West)",Sr.,6-8,OPP,97,305,98,630,6.49
74,"Chance Shampine, Queens (NC) (MIVA)",Fr.,6-2,OH,85,228,120,549,6.46
75,"Owen Fanning, Harvard (EIVA)",Jr.,6-7,OH,80,211,108,516,6.45
76,"Livan Moreno, LIU (NEC)",Sr.,6-3,OH,76,197,87,489,6.43
77,"Kyran  Versteegen, St. Thomas Aquinas (ECC)",Fr.,6-4,S,78,227,93,499,6.40
78,"Isaiah Fedd, Fort Valley St. (SIAC)",So.,6-3,OH,59,195,71,377,6.39
79,"Griffin Wheatley, Lincoln Memorial (DI Independent)",Fr.,6-6,OH,65,189,79,412,6.34
80,"Jordan Howard, Kentucky St. (SIAC)",Jr.,6-0,OH,74,151,139,468,6.32
81,"Camron Petillo, Benedict (SIAC)",Fr.,5-10,OH,71,159,88,449,6.32
82,"Cameron Milligan, Daemen (NEC)",Sr.,6-6,OPP,82,252,72,518,6.32
83,"Alejandro Miranda, American Int'l (ECC)",So.,6-0,L/DS,67,167,109,423,6.31
84,"Daniel Fabikovic, Loyola Chicago (MIVA)",Fr.,6-6,OH,95,273,78,591,6.22
85,"Christian Galoppo, CUI (MPSF)",Fr.,6-6,OPP,82,196,98,510,6.22
86,"Sebastian Lara, UC San Diego (Big West)",Jr.,6-4,OH,83,210,75,509,6.13
87,"Jackson Hickman, Grand Canyon (MPSF)",Sr.,6-4,OH,110,317,101,672,6.11
88,"Daniel Haber, Lewis (MIVA)",So.,6-6,OH,91,240,91,555,6.10
89,"Akin Akinwumi, Pepperdine (MPSF)",Sr.,6-5,OH,81,216,86,491,6.06
90,"Ayden Shaw, Dominican (NY) (ECC)",Fr.,6-5,OH,84,182,91,506,6.02
91,"Jaxon Hicks, Fort Valley St. (SIAC)",Jr.,6-3,OPP,78,206,69,468,6.00
92,"Jackson Fehring Terrell, Benedict (SIAC)",So.,6-5,RS,67,135,107,397,5.93
93,"Ben Coordt, UC Santa Barbara (Big West)",So.,6-4,OH,93,230,79,551,5.92
94,"Kupono Browne, BYU (MPSF)",Sr.,6-5,OPP,90,229,112,530,5.89
95,"D'Angelo Coleman, Kentucky St. (SIAC)",Fr.,5-7,L,74,124,101,429,5.80
96,"Kory Grant, Mount Olive (Conference Carolinas)",So.,6-3,OPP,83,198,81,475,5.72
97,"Nicholas Santos, St. Thomas Aquinas (ECC)",Fr.,6-3,OH,54,100,75,307,5.69
98,"M.J. Doyle, Lees-McRae (Conference Carolinas)",Sr.,6-2,OH,72,137,113,408,5.67
99,"Zion Beckford, Benedict (SIAC)",Jr.,6-4,RS,71,133,104,401,5.65
100,"Chey Cooper, Fort Valley St. (SIAC)",Sr.,6-1,OH,78,178,60,436,5.59
