Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
27,"Zach Puentes, Belmont Abbey (Conference Carolinas)",So.,6-2,OH,94,327,3.48
28,"Deklan Wingo, Tusculum (DI Independent)",Jr.,6-4,OH,107,371,3.47
29,"Luke Benson, BYU (MPSF)",Jr.,6-7,OH,86,297,3.45
30,"Dillon Klein, Southern California (MPSF)",So.,6-6,OH,102,351,3.44
31,"Diego Rosich, North Greenville (Conference Carolinas)",Sr.,6-5,OH,75,257,3.43
32,"Phinehas Wiley, Dominican (NY) (ECC)",Fr.,6-5,OH,84,287,3.42
33,"Shane Wetzel, Ohio St. (MIVA)",So.,6-7,OPP,102,344,3.37
34,"Nate Meyer, Missouri S&T (DI Independent)",So.,6-3,OH,71,239,3.37
35,"Ian Schuller, Lindenwood (MIVA)",So.,6-5,OPP,95,319,3.36
36,"Isaiah Fedd, Fort Valley St. (SIAC)",So.,6-3,OH,59,195,3.31
37,"Robert Santana, American Int'l (ECC)",So.,6-1,OH,68,223,3.28
38,"Jalen Phillips, CSUN (Big West)",Fr.,6-6,OPP,104,340,3.27
39,"Jack Bolz, George Mason (EIVA)",Sr.,6-7,OPP,79,256,3.24
40,"Clay Wieter, Lindenwood (MIVA)",Sr.,6-6,OH,101,327,3.24
41,"Omar Hoyos, George Mason (EIVA)",Sr.,6-6,OH,106,343,3.24
42,"Clarke Godbold, Long Beach St. (Big West)",Sr.,6-5,OPP,74,239,3.23
43,"AJ Lewis, Lindenwood (MIVA)",Sr.,6-5,OH,96,309,3.22
44,"Alessandro Negri, NJIT (EIVA)",Jr.,6-4,OH,101,324,3.21
45,"Aaron Sallade, Missouri S&T (DI Independent)",So.,6-6,OPP,71,226,3.18
46,"Sotiris Siapanis, Long Beach St. (Big West)",Jr.,6-3,OH,97,308,3.18
47,"Matthew Staskunas, Belmont Abbey (Conference Carolinas)",Jr.,6-5,OH,95,300,3.16
48,"Ties Cornelissen, CUI (MPSF)",Fr.,6-6,OH,70,221,3.16
49,"Alaka‘i Todd, Hawaii (Big West)",Sr.,6-8,OPP,97,305,3.14
50,"Anthony Cherfan, UC San Diego (Big West)",Jr.,6-6,OPP,89,279,3.13
51,"Jack Brinkman, Queens (NC) (MIVA)",Sr.,6-2,OH,91,285,3.13
52,"Cameron Milligan, Daemen (NEC)",Sr.,6-6,OPP,82,252,3.07
53,"Tyrone Sands, Central St. (OH) (SIAC)",Jr.,6-4,MH,115,348,3.03
54,"Makai Scott, Maryville (MO) (DI Independent)",Fr.,6-0,OH,93,280,3.01
55,"Kevin Schuele, McKendree (MIVA)",Jr.,6-4,OH,88,264,3.00
56,"Jack Deuchar, Southern California (MPSF)",Jr.,6-9,OPP,100,298,2.98
57,"Skyler Varga, Long Beach St. (Big West)",Jr.,6-7,OH,95,283,2.98
58,"Luke Kraft, Maryville (MO) (DI Independent)",Fr.,6-5,OPP,95,282,2.97
59,"Hayden Frear, Mount Olive (Conference Carolinas)",Sr.,6-3,OH,86,255,2.97
60,"Aidan Feeney, Emmanuel (GA) (Conference Carolinas)",So.,6-5,OH,84,249,2.96
61,"Colby Landry, Tusculum (DI Independent)",Sr.,6-0,OH,102,299,2.93
