Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
24,"Keoni Thiim, BYU (MPSF)",Sr.,6-0,OH,75,265,3.53
25,"Cooper Robinson, UCLA (MPSF)",Sr.,6-7,OH,72,254,3.53
25,"Mustafa Selçuk Uyar, Menlo (MPSF)",Sr.,6-8,OPP,72,254,3.53
27,"Ryan Barnett, Pepperdine (MPSF)",Jr.,6-5,OH,74,257,3.47
28,"Raje Alleyne, Ball St. (MIVA)",Sr.,6-6,OPP,77,266,3.45
28,"Eli Zdonek, Catawba (DI Independent)",Sr.,6-0,OH,77,266,3.45
30,"Nolan Flexen, UC Irvine (Big West)",Jr.,6-9,OH,74,254,3.43
31,"Makai Scott, Maryville (MO) (DI Independent)",So.,6-0,OH,76,258,3.39
32,"Kai Cousins, Charleston (WV) (EIVA)",Fr.,6-1,OH,77,261,3.39
33,"Aidan Feeney, Emmanuel (GA) (Conference Carolinas)",Jr.,6-5,OH,75,253,3.37
34,"Zach Puentes, Belmont Abbey (Conference Carolinas)",So.,6-2,OH,67,225,3.36
35,"Daniel Fabikovic, Loyola Chicago (MIVA)",So.,6-6,OH,85,285,3.35
36,"Luke Benson, BYU (MPSF)",Sr.,6-7,OH,79,264,3.34
37,"Tate Sandvig, Mount Olive (Conference Carolinas)",Sr.,6-5,OH,53,177,3.34
38,"Moses Wagner, Stanford (MPSF)",Jr.,6-6,OPP,73,242,3.32
39,"Will Kuhns, Penn St. (EIVA)",Sr.,6-3,OH,74,245,3.31
40,"Christopher Knowles, LIU (NEC)",Jr.,6-7,OH,59,195,3.31
41,"Aleksa Mandic, Sacred Heart (EIVA)",So.,6-5,OH,69,225,3.26
42,"Nate Meyer, Missouri S&T (DI Independent)",Jr.,6-3,OH,74,241,3.26
43,"Max Roquet, Lewis (MIVA)",Sr.,6-8,OH,104,335,3.22
44,"Logan Whitaker, Merrimack (DI Independent)",Jr.,6-4,OH,59,190,3.22
45,"Stanislaw Chacinski, Ohio St. (MIVA)",Fr.,6-7,OH,91,292,3.21
46,"Willie Lopez Morales, American Int'l (ECC)",So.,6-0,OH,73,234,3.21
47,"Patrick Rogers, Ball St. (MIVA)",Jr.,6-7,OH,105,335,3.19
48,"Daniil Hershtynovich, Long Beach St. (Big West)",So.,6-9,OPP,68,216,3.18
49,"Pablo Zamar, Erskine (Conference Carolinas)",Sr.,6-4,OH,56,177,3.16
50,"Alendy Sincoul, LeMoyne-Owen (SIAC)",Fr.,6-4,OH,44,137,3.11
51,"Chase Celichowski, LIU (NEC)",Jr.,6-5,OH,64,199,3.11
52,"Brendan Louthain, Lindenwood (MIVA)",Jr.,6-1,OH,83,256,3.08
53,"Blake Krapf, Dominican (NY) (ECC)",So.,6-5,OH,75,231,3.08
54,"Carson Strawbridge, Queens (NC) (MIVA)",So.,6-2,OH,92,283,3.08
55,"Zach Rama, UCLA (MPSF)",Jr.,6-8,OH,68,209,3.07
56,"Riggs Guy, UC Santa Barbara (Big West)",Fr.,6-3,OH,71,217,3.06
57,"Alessandro Negri, NJIT (EIVA)",Sr.,6-4,OH,75,229,3.05
58,"Adrien Roure, Hawaii (Big West)",Fr.,6-5,OH,82,250,3.05
59,"Shay Spadaro, Rockhurst (DI Independent)",Jr.,6-4,OH,85,259,3.05
60,"Sam Hoskin, McKendree (MIVA)",Jr.,6-4,OH,91,277,3.04
61,"Mason Rice, Princeton (EIVA)",Fr.,6-5,OH,69,208,3.01
62,"Lawson Hink, Barton (Conference Carolinas)",Fr.,6-6,OH,80,240,3.00
62,"Kai Vogel, Merrimack (DI Independent)",So.,6-3,OH,59,177,3.00
64,"Josh Schellinger, UC San Diego (Big West)",Jr.,6-5,OH,86,257,2.99
65,"Aaron Sallade, Missouri S&T (DI Independent)",Jr.,6-6,OPP,72,215,2.99
66,"Robert Evangelista, George Mason (EIVA)",So.,6-4,OH,59,176,2.98
67,"Allen Faison, Erskine (Conference Carolinas)",Jr.,6-2,OH,55,164,2.98
68,"Kevin Schuele, McKendree (MIVA)",Sr.,6-4,OH,82,242,2.95
69,"Axel Melendez Watts, Purdue Fort Wayne (MIVA)",Sr.,6-10,OH,73,214,2.93
70,"Skyler Varga, Long Beach St. (Big West)",Sr.,6-7,OH,67,196,2.93
71,"Ryan DeJohn, Roberts Wesleyan (ECC)",Fr.,5-11,OH,83,242,2.92
72,"Andrea Di Paola, Roosevelt  (DI Independent)",Sr.,6-5,OH,67,194,2.90
73,"Matthew Pilch, Queens (NC) (MIVA)",Sr.,6-3,OH,85,245,2.88
74,"Matthew Luoma, Penn St. (EIVA)",So.,6-7,OH,62,178,2.87
75,"Austin Beaird, Lees-McRae (Conference Carolinas)",Jr.,6-3,OH,87,247,2.84
76,"Trent Moser, Grand Canyon (MPSF)",So.,6-7,OH,79,224,2.84
77,"Jack Sandahl, Barton (Conference Carolinas)",Sr.,6-3,OH,74,209,2.82
78,"Carter Stenmark, Lindenwood (MIVA)",Sr.,6-3,OH,83,232,2.80
79,"Brady Stump, Saint Francis (NEC)",Jr.,6-7,OH,68,190,2.79
80,"Wiktor Nowak, NJIT (EIVA)",Fr.,0-0,,64,178,2.78
81,"Grant Dvorak, Vanguard  (MPSF)",So.,6-6,S,64,177,2.77
82,"Billy Wieberg, Daemen (NEC)",Sr.,6-4,OH,66,182,2.76
83,"Ties Cornelissen, CUI (MPSF)",So.,6-6,OH,68,187,2.75
84,"Alex Barkley, King (TN) (Conference Carolinas)",So.,6-3,OH,65,178,2.74
84,"Colton Beres, Barry (DI Independent)",Fr.,6-5,OH,65,178,2.74
86,"Kajetan Bieniek, Roosevelt  (DI Independent)",Fr.,6-7,OPP,70,191,2.73
87,"Dylan McFadden, FDU (NEC)",Jr.,6-2,OH,66,180,2.73
88,"Chance Shampine, Queens (NC) (MIVA)",So.,6-2,OH,84,228,2.71
88,"Carter Shomock, North Greenville (Conference Carolinas)",Fr.,6-5,OPP,63,171,2.71
90,"Kyran Versteegen, St. Thomas Aquinas (ECC)",So.,6-4,S,62,168,2.71
91,"Michael de la Cruz, North Greenville (Conference Carolinas)",Sr.,6-3,MB,79,213,2.70
92,"Lorenzo Bertozzi, CSUN (Big West)",Sr.,6-4,OH,83,217,2.61
93,"Nikos Xydakis, McKendree (MIVA)",Sr.,6-6,OPP,95,248,2.61
94,"Louis Sakanoko, Hawaii (Big West)",So.,6-5,OH,66,172,2.61
95,"Matthew Gentry, Lincoln Memorial (DI Independent)",Sr.,6-7,MB,70,181,2.59
96,"Paul Fillion, Roberts Wesleyan (ECC)",So.,6-4,MH,90,230,2.56
96,"Jacob Schurfranz, Thomas More (DI Independent)",So.,6-8,MB,63,161,2.56
98,"Jaedyn Harris, Central St. (OH) (SIAC)",So.,6-2,OH,74,189,2.55
99,"Axel van Baars, Lincoln Memorial (DI Independent)",Sr.,6-7,OH,69,176,2.55
100,"Leo Pravednikov, UC San Diego (Big West)",Jr.,6-4,OH,83,211,2.54
