Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
89,"Jaelin Gray, Alderson Broaddus (DI Independent)",Jr.,6-1,MB,92,23,37,60,0.652
90,"Alain Tamo-Noche, Central St. (OH) (SIAC)",So.,6-1,OH,103,25,42,67,0.650
91,"Grogan Kraus, Missouri S&T (DI Independent)",Fr.,6-8,MB,73,14,33,47,0.644
92,"Ethan Hill, Stanford (MPSF)",Jr.,6-7,MB,101,8,57,65,0.644
93,"Rodney Wallace, Lindenwood (MIVA)",Jr.,6-6,MB,81,10,42,52,0.642
94,"Andrew Nielsen, Alderson Broaddus (DI Independent)",Jr.,6-7,MB,92,17,42,59,0.641
95,"Parker Van Buren, Loyola Chicago (MIVA)",So.,6-9,OH,102,6,59,65,0.637
96,"Ethan Champlin, UCLA (MPSF)",Jr.,6-3,OH,99,6,57,63,0.636
96,"Jamal Ellis Carballo, FDU (NEC)",Fr.,6-6,OPP,66,14,28,42,0.636
98,"Matthew Maxwell, Belmont Abbey (Conference Carolinas)",Sr.,5-10,L,109,9,60,69,0.633
99,"Jim Garrison, UC San Diego (Big West)",Fr.,6-9,MB,62,6,33,39,0.629
100,"Jamal Singleton, Kentucky St. (SIAC)",Sr.,6-4,MB,86,24,30,54,0.628
