Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
21,"John Rivera Ortiz, American Int'l (DI Independent)",So.,6-2,OH,61,189,110,489,8.02
22,"Kaelen Ingram, Edward Waters (SIAC)",So.,6-6,OH,59,215,72,471,7.98
23,"Jacob Pasteur, Ohio St. (MIVA)",Jr.,6-4,OH,119,464,172,933,7.84
24,"Dillon Klein, Southern California (MPSF)",Fr.,6-4,OH,99,356,146,775,7.83
25,"Kaleb Jenness, Ball St. (MIVA)",Sr.,6-6,OH,98,359,95,766,7.82
26,"Max Roquet, Lewis (MIVA)",So.,6-8,OH,91,304,119,709,7.79
27,"Ryan Wilcox, UC Santa Barbara (Big West)",Sr.,6-2,OH,98,312,122,761,7.77
28,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,318,89,635,7.65
29,"Dimitrios Mouchlias, Hawaii (Big West)",Jr.,6-6,OPP,90,356,87,678,7.53
30,"Spyros Chakas, Hawaii (Big West)",Jr.,6-4,OH,90,315,94,677,7.52
31,"Matthew Pilch, Queens (NC) (DI Independent)",So.,6-3,OH,83,294,67,623,7.51
32,"Bryce Wetjen, McKendree (MIVA)",Fr.,6-7,OH,85,275,130,637,7.49
33,"Jason Sall, Erskine (Conference Carolinas)",Jr.,6-3,OH,93,278,144,693,7.45
34,"Albert Warzocha, Limestone (DI Independent)",So.,6-3,OH,74,271,94,551,7.45
35,"Edgerrin Austin, Erskine (Conference Carolinas)",Jr.,5-11,OH,87,289,130,644,7.40
36,"Tate Sandvig, Mount Olive (Conference Carolinas)",So.,6-5,OH,99,280,126,731,7.38
37,"Sotiris Siapanis, Long Beach St. (Big West)",So.,6-3,OH,89,285,113,655,7.36
38,"Alessandro Negri, NJIT (EIVA)",So.,6-4,OH,84,263,114,616,7.33
39,"Isaiah Fedd, Fort Valley St. (SIAC)",Fr.,6-3,OH,99,340,149,725,7.32
40,"Hilir Henno, UC Irvine (Big West)",So.,6-8,OH,99,343,129,723,7.30
41,"Jordan Howard, Kentucky St. (SIAC)",So.,6-0,OH,98,201,168,715,7.30
42,"Jackson Carroll, King (TN) (Conference Carolinas)",Sr.,6-2,OH,116,303,141,844,7.28
43,"Cole Schlothauer, Loyola Chicago (MIVA)",Sr.,6-5,OH,90,306,106,654,7.27
44,"Jack Brinkman, Queens (NC) (DI Independent)",Sr.,6-2,OH,86,239,135,624,7.26
45,"AJ Lewis, Lindenwood (MIVA)",Sr.,6-5,OH,84,243,99,606,7.21
46,"Patrick Mucherino, Sacred Heart (NEC)",Jr.,6-5,OH,85,282,144,613,7.21
47,"Tinaishe Ndavazocheva, Ball St. (MIVA)",So.,6-6,OH,95,342,117,685,7.21
48,"Ben Harrington, Princeton (EIVA)",Jr.,6-4,,95,334,136,684,7.20
49,"Liam French, George Mason (EIVA)",Fr.,6-2,OH,94,291,124,675,7.18
50,"Miks Ramanis, BYU (MPSF)",So.,6-4,OH,96,313,103,681,7.09
51,"Livan Moreno, LIU (NEC)",Sr.,6-3,OH,107,313,119,757,7.07
52,"Cal Fisher, Penn St. (EIVA)",Sr.,6-3,OPP,76,261,63,536,7.05
53,"Matthew Staskunas, Belmont Abbey (Conference Carolinas)",So.,6-5,OH,101,260,106,710,7.03
54,"Ian Schuller, Lindenwood (MIVA)",Fr.,0-0,OPP,84,259,118,589,7.01
55,"Andrew Deardorff, Saint Francis (NEC)",So.,6-5,OH,75,223,81,523,6.97
56,"Jack Bolz, George Mason (EIVA)",Jr.,6-7,OPP,84,234,114,582,6.93
57,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Jr.,6-4,OH,76,247,82,526,6.92
58,"Hayden Frear, Mount Olive (Conference Carolinas)",Jr.,6-3,OH,90,225,109,619,6.88
59,"Cameron Milligan, Daemen (NEC)",Jr.,6-4,OPP,86,238,101,585,6.80
60,"Luke Chandler, LIU (NEC)",So.,6-5,OPP,99,302,129,673,6.80
61,"Simon Gallas, Southern California (MPSF)",Jr.,6-8,OPP,84,226,90,571,6.80
62,"Deklan Wingo, Tusculum (DI Independent)",So.,6-4,OH,83,239,130,563,6.78
63,"Ido David, UCLA (MPSF)",So.,6-7,OH,91,322,98,614,6.75
64,"Camden Gianni, Grand Canyon (MPSF)",Jr.,6-5,OH,84,248,97,566,6.74
65,"Mark Berry, Sacred Heart (NEC)",Jr.,6-4,OH,87,274,115,586,6.74
66,"Colby Landry, Tusculum (DI Independent)",Jr.,6-0,OH,100,311,170,671,6.71
67,"Luke Benson, BYU (MPSF)",So.,6-7,OH,71,212,85,476,6.70
68,"Justin Gregory, Mount Olive (Conference Carolinas)",Jr.,6-6,OPP,90,215,100,597,6.63
69,"Bartek Zielinski, St. Francis Brooklyn (NEC)",Sr.,6-4,OH,67,205,92,444,6.63
70,"Diego Rosich, North Greenville (Conference Carolinas)",Jr.,6-5,OH,102,291,95,674,6.61
71,"Griffin Walters, CSUN (Big West)",Jr.,6-6,OH,95,265,107,625,6.58
72,"Mark Frazier, Purdue Fort Wayne (MIVA)",So.,6-6,MB,103,277,156,675,6.55
73,"M.J. Doyle, Lees-McRae (Conference Carolinas)",Sr.,6-2,OH,81,205,115,528,6.52
74,"Aaron Sallade, Missouri S&T (DI Independent)",Fr.,6-6,OPP,64,165,110,417,6.52
75,"Clarke Godbold, Long Beach St. (Big West)",Jr.,6-5,OH,89,252,82,579,6.51
76,"Kade McGovern, Harvard (EIVA)",So.,6-6,OPP,75,189,119,487,6.49
77,"Loic Nanchen, Alderson Broaddus (DI Independent)",Jr.,6-3,OH,92,248,132,596,6.48
77,"Nate Rogers, Alderson Broaddus (DI Independent)",Fr.,0-0,OH,92,190,123,596,6.48
79,"Blake Liprando, Saint Francis (NEC)",Sr.,6-3,OH,91,256,92,589,6.47
80,"Garret Schnitker, Charleston (WV) (EIVA)",Sr.,6-6,RS,80,236,90,515,6.44
81,"Kyle Wilson, McKendree (MIVA)",Sr.,6-4,OH,84,233,113,539,6.42
82,"Michael Marsans, Lees-McRae (Conference Carolinas)",Sr.,6-5,OH,86,246,130,550,6.40
83,"Carlos Guerrero, Emmanuel (GA) (Conference Carolinas)",Sr.,6-4,MB,90,225,125,574,6.38
84,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Jr.,6-6,RS,62,171,63,395,6.37
85,"Mark Autry, North Greenville (Conference Carolinas)",Jr.,6-7,OPP,87,201,69,549,6.31
86,"Cole Campisano, Lincoln Memorial (DI Independent)",Jr.,6-3,OH,82,248,84,515,6.28
87,"Kevin Schuele, McKendree (MIVA)",So.,6-4,OH,75,184,88,470,6.27
88,"Jackson Hickman, Grand Canyon (MPSF)",Jr.,6-4,OH,104,319,97,649,6.24
89,"James Chretien, Limestone (DI Independent)",Jr.,6-3,OH,84,216,105,522,6.21
90,"Kevin Kobrine, Southern California (MPSF)",Sr.,6-5,OH,99,246,78,605,6.11
91,"Christian Prayer, Lewis (MIVA)",Jr.,6-4,OPP,86,278,135,524,6.09
92,"Zach Berty, Harvard (EIVA)",Fr.,6-6,OH,80,202,93,486,6.08
93,"Daniel Leitao, Queens (NC) (DI Independent)",Sr.,6-4,S,95,224,145,577,6.07
94,"Kevin Lamp, Stanford (MPSF)",Sr.,6-6,OH,89,229,104,539,6.06
95,"Trent Moser, BYU (MPSF)",Fr.,6-7,OH,76,190,83,460,6.05
96,"Clay Wieter, Lindenwood (MIVA)",Jr.,6-6,OH,65,144,84,393,6.05
97,"Robert Santana, American Int'l (DI Independent)",Fr.,6-1,OH,76,167,131,454,5.97
98,"Theo Snoey, Stanford (MPSF)",Fr.,6-8,OH,101,270,118,603,5.97
99,"Shay Spadaro, Lincoln Memorial (DI Independent)",Fr.,6-4,OH,78,224,69,464,5.95
100,"Jake Adams, Barton (Conference Carolinas)",So.,6-2,RS,85,166,76,504,5.93
