Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
40,"Bryce Wetjen, McKendree (MIVA)",Fr.,6-7,OH,85,275,3.24
41,"Christian Prayer, Lewis (MIVA)",Jr.,6-4,OPP,86,278,3.23
42,"Sotiris Siapanis, Long Beach St. (Big West)",So.,6-3,OH,89,285,3.20
43,"Ryan Wilcox, UC Santa Barbara (Big West)",Sr.,6-2,OH,98,312,3.18
44,"Mark Berry, Sacred Heart (NEC)",Jr.,6-4,OH,87,274,3.15
45,"Alessandro Negri, NJIT (EIVA)",So.,6-4,OH,84,263,3.13
46,"Colby Landry, Tusculum (DI Independent)",Jr.,6-0,OH,100,311,3.11
47,"John Rivera Ortiz, American Int'l (DI Independent)",So.,6-2,OH,61,189,3.10
48,"Liam French, George Mason (EIVA)",Fr.,6-2,OH,94,291,3.10
49,"Ian Schuller, Lindenwood (MIVA)",Fr.,0-0,OPP,84,259,3.08
50,"Jackson Hickman, Grand Canyon (MPSF)",Jr.,6-4,OH,104,319,3.07
51,"Bartek Zielinski, St. Francis Brooklyn (NEC)",Sr.,6-4,OH,67,205,3.06
52,"Luke Chandler, LIU (NEC)",So.,6-5,OPP,99,302,3.05
53,"Cole Campisano, Lincoln Memorial (DI Independent)",Jr.,6-3,OH,82,248,3.02
54,"Brandon Johnston, Barton (Conference Carolinas)",Jr.,6-3,OH,76,229,3.01
55,"Cameron Lee, Central St. (OH) (SIAC)",So.,6-1,OH,110,330,3.00
56,"Jason Sall, Erskine (Conference Carolinas)",Jr.,6-3,OH,93,278,2.99
57,"Luke Benson, BYU (MPSF)",So.,6-7,OH,71,212,2.99
58,"Andrew Deardorff, Saint Francis (NEC)",So.,6-5,OH,75,223,2.97
59,"Camden Gianni, Grand Canyon (MPSF)",Jr.,6-5,OH,84,248,2.95
60,"Garret Schnitker, Charleston (WV) (EIVA)",Sr.,6-6,RS,80,236,2.95
61,"Livan Moreno, LIU (NEC)",Sr.,6-3,OH,107,313,2.93
62,"AJ Lewis, Lindenwood (MIVA)",Sr.,6-5,OH,84,243,2.89
63,"Shane Wetzel, Ohio St. (MIVA)",Fr.,6-7,OPP,92,265,2.88
64,"Deklan Wingo, Tusculum (DI Independent)",So.,6-4,OH,83,239,2.88
65,"Shay Spadaro, Lincoln Memorial (DI Independent)",Fr.,6-4,OH,78,224,2.87
66,"Michael de la Cruz, North Greenville (Conference Carolinas)",So.,6-3,MB,101,289,2.86
67,"Michael Marsans, Lees-McRae (Conference Carolinas)",Sr.,6-5,OH,86,246,2.86
68,"Diego Rosich, North Greenville (Conference Carolinas)",Jr.,6-5,OH,102,291,2.85
69,"Clarke Godbold, Long Beach St. (Big West)",Jr.,6-5,OH,89,252,2.83
70,"Tate Sandvig, Mount Olive (Conference Carolinas)",So.,6-5,OH,99,280,2.83
71,"Blake Liprando, Saint Francis (NEC)",Sr.,6-3,OH,91,256,2.81
72,"Lachlan Bray, Charleston (WV) (EIVA)",Sr.,6-5,OH,85,238,2.80
72,"Luuk Hoge Bavel, Charleston (WV) (EIVA)",So.,6-6,OH,75,210,2.80
74,"Christian Janke, Grand Canyon (MPSF)",Sr.,6-5,OH,105,293,2.79
75,"Griffin Walters, CSUN (Big West)",Jr.,6-6,OH,95,265,2.79
76,"Jack Bolz, George Mason (EIVA)",Jr.,6-7,OPP,84,234,2.79
77,"Jack Brinkman, Queens (NC) (DI Independent)",Sr.,6-2,OH,86,239,2.78
78,"Kyle Wilson, McKendree (MIVA)",Sr.,6-4,OH,84,233,2.77
79,"Cameron Milligan, Daemen (NEC)",Jr.,6-4,OPP,86,238,2.77
80,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Jr.,6-6,RS,62,171,2.76
81,"Spencer Olivier, Long Beach St. (Big West)",Sr.,6-6,OH,84,231,2.75
82,"Ethan Champlin, UCLA (MPSF)",Jr.,6-3,OH,99,269,2.72
83,"Loic Nanchen, Alderson Broaddus (DI Independent)",Jr.,6-3,OH,92,248,2.70
84,"Simon Gallas, Southern California (MPSF)",Jr.,6-8,OPP,84,226,2.69
85,"Mark Frazier, Purdue Fort Wayne (MIVA)",So.,6-6,MB,103,277,2.69
86,"Theo Snoey, Stanford (MPSF)",Fr.,6-8,OH,101,270,2.67
87,"Jackson Carroll, King (TN) (Conference Carolinas)",Sr.,6-2,OH,116,303,2.61
88,"Josh Schellinger, UC San Diego (Big West)",Fr.,6-5,OH,78,202,2.59
89,"Aaron Sallade, Missouri S&T (DI Independent)",Fr.,6-6,OPP,64,165,2.58
90,"Matthew Staskunas, Belmont Abbey (Conference Carolinas)",So.,6-5,OH,101,260,2.57
91,"Kevin Lamp, Stanford (MPSF)",Sr.,6-6,OH,89,229,2.57
92,"James Chretien, Limestone (DI Independent)",Jr.,6-3,OH,84,216,2.57
93,"Cole Gillis, UC Irvine (Big West)",Jr.,6-5,OH,96,243,2.53
94,"M.J. Doyle, Lees-McRae (Conference Carolinas)",Sr.,6-2,OH,81,205,2.53
95,"Zach Berty, Harvard (EIVA)",Fr.,6-6,OH,80,202,2.53
96,"Kade McGovern, Harvard (EIVA)",So.,6-6,OPP,75,189,2.52
97,"Hayden Frear, Mount Olive (Conference Carolinas)",Jr.,6-3,OH,90,225,2.50
97,"Carlos Guerrero, Emmanuel (GA) (Conference Carolinas)",Sr.,6-4,MB,90,225,2.50
97,"Trent Moser, BYU (MPSF)",Fr.,6-7,OH,76,190,2.50
100,"Chaz Galloway, Hawaii (Big West)",Jr.,6-3,OH,90,224,2.49
