Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Per Set
56,"Luke Denton, Loyola Chicago (MIVA)",Fr.,6-6,,7,14,2,0,4,2.57
57,"Jack Truman, UC Santa Barbara (Big West)",Fr.,6-11,,8,13,1,3,7,2.56
58,"Max Chamberlain, Pepperdine (MPSF)",Sr.,6-6,,7,12,3,0,5,2.50
58,"Julian Moses, Lewis (MIVA)",Sr.,6-4,,6,12,1,0,4,2.50
58,"Jack Reese, George Mason (EIVA)",So.,6-8,,6,9,1,2,6,2.50
61,"Kyle Piekarski, Loyola Chicago (MIVA)",Jr.,6-8,,8,18,0,0,3,2.44
62,"Griffin Schmit, Harvard (EIVA)",So.,6-5,,13,25,3,0,7,2.42
63,"Will Schwob, Grand Canyon (MPSF)",Sr.,6-4,,9,17,0,3,3,2.39
64,"Campbell Schoenfeld, Harvard (EIVA)",Fr.,6-8,,13,25,3,1,4,2.38
65,"Jason Donorovich, Penn St. (EIVA)",Jr.,6-9,,4,7,1,0,3,2.38
65,"Alvaro Gimeno, NJIT (Independent)",So.,6-7,,8,17,0,0,4,2.38
67,"Maciej Ptaszynski, CSUN (Big West)",So.,6-6,,14,28,3,0,3,2.32
68,"Luca Berger, NJIT (Independent)",Jr.,6-10,,8,12,0,3,7,2.31
69,"Brandon Baker, North Greenville (Conference Carolinas)",So.,6-6,,5,10,0,0,3,2.30
70,"Martin Lallemand, Ohio St. (MIVA)",So.,6-4,,7,14,2,0,0,2.29
71,"Adrian Iglesias, Barton (Conference Carolinas)",Fr.,6-5,,4,9,0,0,0,2.25
72,"Greg Luck, Princeton (EIVA)",Jr.,6-5,,13,22,3,0,8,2.23
73,"Austin Wilmot, UC Irvine (Big West)",So.,6-9,,9,13,1,2,8,2.22
74,"Keenan Sanders, UC Santa Barbara (Big West)",Jr.,6-7,,9,15,0,1,7,2.17
75,"Kevin Vaz, Pepperdine (MPSF)",Sr.,6-6,,7,8,3,0,8,2.14
76,"Shane Benetz, UC San Diego (Big West)",Fr.,6-6,,5,8,2,0,1,2.10
77,"Aaron Campbell, North Greenville (Conference Carolinas)",Sr.,6-6,,6,10,1,0,2,2.00
77,"Alex Shmelev, Grand Canyon (MPSF)",Sr.,6-6,,11,13,4,0,10,2.00
79,"Parker Swartz, Ball St. (MIVA)",Sr.,6-5,,8,13,0,0,5,1.94
79,"Enrique de Diego Garcia, NJIT (Independent)",Sr.,6-5,,8,11,1,1,5,1.94
81,"Erik Johnsson, Harvard (EIVA)",Jr.,6-4,,13,22,0,1,4,1.92
82,"Collin Shannon, UC San Diego (Big West)",So.,6-7,,5,8,1,0,1,1.90
83,"Trevor Dow, Harvard (EIVA)",Sr.,6-10,,13,16,1,2,11,1.88
84,"Adriel Roberts, Charleston (WV) (EIVA)",Jr.,6-6,,3,5,0,0,1,1.83
85,"Jens Feldhus, NJIT (Independent)",Fr.,6-3,,8,9,4,1,1,1.81
85,"Louis Richard, Long Beach St. (Big West)",Sr.,6-3,,8,13,1,0,1,1.81
85,"Jake Romano, Ball St. (MIVA)",Jr.,6-6,,8,6,5,0,7,1.81
88,"Wyatt Harrison, UC San Diego (Big West)",So.,6-4,,5,9,0,0,0,1.80
89,"Ryan Hong, Harvard (EIVA)",Fr.,6-2,,13,18,1,2,4,1.77
90,"Felix Egharevba, Ball St. (MIVA)",Fr.,6-5,,7,8,0,0,8,1.71
91,"Vlad Pesic, UC San Diego (Big West)",So.,6-8,,5,7,0,0,3,1.70
92,"Josh Tuaniga, Long Beach St. (Big West)",Sr.,6-3,,9,9,5,0,2,1.67
93,"Jack Burton, Grand Canyon (MPSF)",Jr.,6-4,,10,14,1,0,3,1.65
94,"Micah Ma'a, UCLA (MPSF)",Sr.,6-3,,7,4,5,1,3,1.64
94,"Austin Matautia, UCLA (MPSF)",Jr.,6-4,,7,9,2,0,1,1.64
96,"Justice Lord, Barton (Conference Carolinas)",Sr.,6-7,,4,4,0,1,3,1.63
97,"Nic Cavallaro, Queens (NC) (DI Independent)",So.,6-3,,3,4,0,0,1,1.50
97,"Brandon Greenway, Charleston (WV) (EIVA)",Sr.,6-4,,3,4,0,0,1,1.50
97,"Noah Lassandro, CUI (MPSF)",Fr.,0-0,,9,7,2,2,5,1.50
97,"Scott Stadick, UC Irvine (Big West)",Jr.,7-0,,9,8,0,0,11,1.50
