Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
44,"Jakob Thelle, Hawaii (Big West)",So.,6-6,,6,0,3,3,0.500
44,"Jake Vorburger, Charleston (WV) (EIVA)",Fr.,0-0,,6,0,3,3,0.500
52,"Brandon Baker, North Greenville (Conference Carolinas)",Jr.,6-6,,7,2,1,3,0.429
52,"Parker Dixon, Princeton (EIVA)",Sr.,6-6,,7,0,3,3,0.429
52,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,,7,1,2,3,0.429
52,"Joshua Kim, King (TN) (Conference Carolinas)",Jr.,6-6,RS,7,0,3,3,0.429
56,"Chris Hall, Southern California (MPSF)",Jr.,6-2,,5,0,2,2,0.400
57,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,,6,0,2,2,0.333
57,"Brad Creamer, George Mason (EIVA)",Jr.,6-9,,3,0,1,1,0.333
57,"Reese Devilbiss, Ohio St. (MIVA)",Sr.,6-2,,3,0,1,1,0.333
57,"Zach Eschenberg, BYU (MPSF)",Sr.,6-6,,6,0,2,2,0.333
57,"Mike Kapusta, George Mason (EIVA)",So.,6-7,,3,0,1,1,0.333
57,"Kevin Kauling, Lewis (MIVA)",Fr.,6-8,,6,0,2,2,0.333
57,"Austin Matautia, UCLA (MPSF)",Sr.,6-4,,6,0,2,2,0.333
57,"Max Senica, Charleston (WV) (EIVA)",Jr.,6-2,,6,0,2,2,0.333
57,"Ismael  Sneed, Charleston (WV) (EIVA)",Fr.,0-0,,6,1,1,2,0.333
57,"Luis Velez, George Mason (EIVA)",Jr.,6-4,,3,0,1,1,0.333
57,"Diego Villafane, Charleston (WV) (EIVA)",So.,6-1,,6,1,1,2,0.333
68,"Cade McGee, North Greenville (Conference Carolinas)",So.,6-1,,7,0,2,2,0.286
69,"Jack Brinkman, Urbana (DI Independent)",Fr.,6-2,,4,0,1,1,0.250
69,"Billy Fauntleroy, Southern California (MPSF)",So.,6-8,,4,0,1,1,0.250
69,"Chaz Hafer, Urbana (DI Independent)",Jr.,6-0,,4,0,1,1,0.250
69,"Sam Hargett, Urbana (DI Independent)",Fr.,6-2,,4,1,0,1,0.250
69,"Cole Schlothauer, Loyola Chicago (MVC)",Fr.,6-5,,8,0,2,2,0.250
74,"Brandon Browning, Southern California (MPSF)",So.,6-4,,5,0,1,1,0.200
74,"Rado Parapunov, Hawaii (Big West)",Sr.,6-9,,5,0,1,1,0.200
76,"Dalen Instenes, Lewis (MIVA)",Sr.,6-5,,6,0,1,1,0.167
76,"Alex  Knight, UCLA (MPSF)",Fr.,6-5,,6,0,1,1,0.167
76,"Jack Sarnowski, King (TN) (Conference Carolinas)",Fr.,6-3,S,6,0,1,1,0.167
79,"Kyle Bugee, Lewis (MIVA)",Sr.,6-5,,7,0,1,1,0.143
79,"Suetonius Harris, King (TN) (Conference Carolinas)",So.,6-1,OH,7,0,1,1,0.143
79,"Sean Kohlhase, King (TN) (Conference Carolinas)",Jr.,6-4,OH,7,0,1,1,0.143
82,"Ian Cowen, Loyola Chicago (MVC)",Sr.,6-5,,8,0,1,1,0.125
82,"Alexander Mrkalj, Princeton (EIVA)",Fr.,6-5,,8,0,1,1,0.125
