Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
77,"Jackson Carroll, King (TN) (Conference Carolinas)",So.,6-2,OH,5,0,1,1,0.200
77,"AJ Drooker, King (TN) (Conference Carolinas)",Fr.,6-3,S,5,1,0,1,0.200
77,"Aaron Milstead, King (TN) (Conference Carolinas)",Jr.,6-4,RS,5,0,1,1,0.200
80,"Johansen Negron, Lincoln Memorial (DI Independent)",So.,6-2,,11,0,2,2,0.182
81,"Josh Bragg, Queens (NC) (DI Independent)",Sr.,6-4,OH,18,0,3,3,0.167
81,"Jack Driscoll, Penn St. (EIVA)",Jr.,6-4,S,6,0,1,1,0.167
81,"Cal Fisher, Penn St. (EIVA)",Jr.,6-3,OPP,6,0,1,1,0.167
84,"Shaun Kampshoff, Tusculum (DI Independent)",Jr.,6-4,RS,7,0,1,1,0.143
84,"Jack Wozniak, Tusculum (DI Independent)",Fr.,6-5,MB,7,0,1,1,0.143
86,"Spencer Saint-Eloi, Limestone (DI Independent)",Sr.,6-1,OPP,8,0,1,1,0.125
87,"Alexander Finch, Saint Francis (EIVA)",So.,6-3,,16,0,1,1,0.063
