Team 1,Team 1 Score,Team 2,Team 2 Score,Date
Erskine,0,Ohio St.,0,01-19-2019
USC,0,Barton,0,01-19-2019
UC San Diego,0,Loyola Chicago,0,01-19-2019
Brewton-Parker,0,Emmanuel (Ga.),0,01-19-2019
Limestone,0,Lincoln Memorial,0,01-19-2019
Lincoln Memorial,2,Grand Canyon,3,01-20-2019
Quincy,0,Barton,0,01-20-2019
Lindenwood (MO),0,USC,0,01-20-2019
Quincy,0,Limestone,0,01-20-2019
Penn St.,3,St. Francis (Pa.),1,01-21-2019
King (Tenn.),0,Lees-McRae,0,01-22-2019
Belmont Abbey,0,Coker,0,01-22-2019
North Greenville,0,Erskine,0,01-22-2019
UC Irvine,1,USC,3,01-23-2019
Limestone,0,Emmanuel (Ga.),0,01-23-2019
Quincy,0,Mo. Baptist,0,01-23-2019
Harvard,3,Sacred Heart,1,01-24-2019
Grand Canyon,3,Saint Katherine,1,01-25-2019
Loyola Chicago,3,CSUN,0,01-25-2019
USC,1,Long Beach St.,3,01-25-2019
Fort Wayne,1,Stanford,3,01-25-2019
Lewis,0,UC Santa Barb.,0,01-25-2019
UCLA,0,UC San Diego,0,01-25-2019
Erskine,0,Mount Olive,0,01-25-2019
Emmanuel (Ga.),0,Barton,0,01-25-2019
Charleston (WVa),0,George Mason,0,01-25-2019
Lindenwood (MO),0,St. Francis (Pa.),0,01-25-2019
Concordia (CA),0,UC Irvine,0,01-25-2019
Queens (N.C.),0,Limestone,0,01-25-2019
McKendree,0,Penn St.,0,01-25-2019
Lincoln Memorial,3,Queens (N.C.),0,01-26-2019
Loyola Chicago,1,UC Santa Barb.,3,01-26-2019
Fort Wayne,0,Stanford,3,01-26-2019
Lewis,0,CSUN,0,01-26-2019
Grand Canyon,0,UC San Diego,0,01-26-2019
Ohio St.,0,Ball State,0,01-26-2019
King (Tenn.),0,Belmont Abbey,0,01-26-2019
Erskine,0,Barton,0,01-26-2019
McKendree,0,St. Francis (Pa.),0,01-26-2019
North Greenville,0,Lees-McRae,0,01-26-2019
Emmanuel (Ga.),0,Mount Olive,0,01-26-2019
Lindenwood (MO),0,Penn St.,0,01-26-2019
Pepperdine,1,UC Irvine,3,01-27-2019
St. Xavier,0,Quincy,0,01-27-2019
Queens (N.C.),3,Coker,1,01-29-2019
Princeton,0,UC San Diego,0,01-29-2019
Bluefield Col.,0,North Greenville,0,01-29-2019
CSUN,1,Pepperdine,3,01-30-2019
Life (GA),0,Emmanuel (Ga.),0,01-30-2019
Belmont Abbey,0,Lees-McRae,0,01-30-2019
Princeton,0,USC,3,01-31-2019
UCLA,3,Loyola Chicago,1,01-31-2019
Long Beach St.,0,Lindenwood (MO),0,01-31-2019
BYU,0,UC Santa Barb.,3,02-01-2019
Ball State,3,Harvard,2,02-01-2019
Coker,0,George Mason,3,02-01-2019
Fort Wayne,3,Sacred Heart,1,02-01-2019
Princeton,2,CSUN,3,02-01-2019
UC Irvine,3,Grand Canyon,0,02-01-2019
St. Francis (Pa.),3,Ohio St.,2,02-01-2019
Stanford,0,Hawaii,3,02-01-2019
King (Tenn.),0,Erskine,0,02-01-2019
Mount Olive,0,North Greenville,0,02-01-2019
Penn St.,0,Lewis,0,02-01-2019
Queens (N.C.),0,Belmont Abbey,0,02-01-2019
Lees-McRae,0,Emmanuel (Ga.),0,02-01-2019
McKendree,0,Lourdes,0,02-01-2019
Barton,0,Limestone,0,02-01-2019
Charleston (WVa),0,Benedictine Mesa,0,02-01-2019
Charleston (WVa),0,UC Irvine,0,02-01-2019
Concordia (CA),0,UC San Diego,0,02-01-2019
Long Beach St.,0,Quincy,0,02-01-2019
BYU,0,UC Santa Barb.,3,02-02-2019
Ball State,3,Sacred Heart,1,02-02-2019
Penn St.,1,Loyola Chicago,3,02-02-2019
USC,2,UC Irvine,3,02-02-2019
Fort Wayne,3,Harvard,1,02-02-2019
Lincoln Memorial,1,Ohio St.,3,02-02-2019
Lourdes,0,Lindenwood (MO),0,02-02-2019
King (Tenn.),0,Emmanuel (Ga.),0,02-02-2019
Lees-McRae,0,Erskine,0,02-02-2019
UCLA,0,Lewis,0,02-02-2019
McKendree,0,Long Beach St.,0,02-02-2019
Barton,0,North Greenville,0,02-02-2019
Alderson-Broad.,0,Lindenwood (MO),0,02-02-2019
Alderson-Broad.,0,Quincy,0,02-02-2019
Charleston (WVa),0,Grand Canyon,0,02-02-2019
Mount Olive,0,Limestone,0,02-02-2019
Stanford,0,Hawaii,3,02-03-2019
Lourdes,0,Quincy,0,02-03-2019
McKendree,0,Alderson-Broad.,0,02-03-2019
Mount Olive,2,Coker,3,02-05-2019
Ohio St.,0,Fort Wayne,3,02-05-2019
Emmanuel (Ga.),0,Life (GA),3,02-05-2019
Belmont Abbey,3,Limestone,1,02-05-2019
Lincoln Memorial,2,King (Tenn.),3,02-05-2019
BYU,0,Pepperdine,3,02-06-2019
Stanford,2,UCLA,3,02-07-2019
McKendree,3,Ball State,0,02-07-2019
Hawaii,3,Queens (N.C.),0,02-07-2019
Grand Canyon,0,USC,3,02-07-2019
Lewis,3,Lindenwood (MO),0,02-08-2019
Stanford,0,Pepperdine,3,02-08-2019
Mount Olive,3,Belmont Abbey,1,02-08-2019
Loyola Chicago,3,Quincy,0,02-08-2019
Ohio St.,0,UC Santa Barb.,3,02-08-2019
Charleston (WVa),0,Princeton,3,02-08-2019
Penn St.,0,Long Beach St.,3,02-08-2019
UC Irvine,3,UC San Diego,1,02-08-2019
McKendree,2,Fort Wayne,3,02-08-2019
North Greenville,3,Emmanuel (Ga.),0,02-08-2019
Coker,0,Lincoln Memorial,3,02-08-2019
Hawaii,3,St. Francis (Pa.),0,02-08-2019
George Mason,3,Fort Wayne,0,02-09-2019
Lewis,3,Quincy,0,02-09-2019
BYU,1,UCLA,3,02-09-2019
St. Francis (Pa.),1,Belmont Abbey,3,02-09-2019
Grand Canyon,1,Concordia (CA),3,02-09-2019
Erskine,1,Lincoln Memorial,3,02-09-2019
Ohio St.,0,Long Beach St.,3,02-09-2019
Hawaii,3,Queens (N.C.),0,02-09-2019
Penn St.,0,UC Santa Barb.,3,02-09-2019
Limestone,3,Lees-McRae,0,02-09-2019
Charleston (WVa),1,Princeton,3,02-09-2019
Loyola Chicago,3,Lindenwood (MO),1,02-09-2019
St. Francis (Pa.),3,Queens (N.C.),1,02-10-2019
George Mason,2,Ball State,3,02-10-2019
Barton,3,Coker,0,02-12-2019
North Greenville,1,King (Tenn.),3,02-12-2019
Pepperdine,3,CSUN,0,02-13-2019
Erskine,0,Limestone,3,02-13-2019
Lindenwood (MO),2,McKendree,3,02-13-2019
UCLA,2,UC Santa Barb.,3,02-13-2019
USC,2,Stanford,3,02-14-2019
Concordia (CA),0,BYU,3,02-14-2019
McKendree,3,Quincy,1,02-14-2019
UC San Diego,2,UC Irvine,3,02-14-2019
George Mason,3,NJIT,0,02-15-2019
Sacred Heart,0,St. Francis (Pa.),3,02-15-2019
Pepperdine,3,Grand Canyon,2,02-15-2019
Ohio St.,0,Lindenwood (MO),3,02-15-2019
King (Tenn.),0,Barton,3,02-15-2019
Ball State,0,Lewis,3,02-15-2019
Belmont Abbey,3,Erskine,1,02-15-2019
Lees-McRae,0,Mount Olive,3,02-15-2019
Fort Wayne,1,Loyola Chicago,3,02-15-2019
UC Santa Barb.,3,UC San Diego,0,02-15-2019
Harvard,0,Penn St.,3,02-15-2019
Lincoln Memorial,0,Hawaii,3,02-15-2019
Webber Int'l,3,Emmanuel (Ga.),2,02-15-2019
George Mason,1,Princeton,3,02-16-2019
Sacred Heart,0,Penn St.,3,02-16-2019
Ohio St.,3,Quincy,1,02-16-2019
King (Tenn.),3,Mount Olive,0,02-16-2019
Ball State,1,Loyola Chicago,3,02-16-2019
Lees-McRae,0,Barton,3,02-16-2019
Queens (N.C.),0,Charleston (WVa),3,02-16-2019
UCLA,0,Long Beach St.,3,02-16-2019
Fort Wayne,0,Lewis,3,02-16-2019
Harvard,3,St. Francis (Pa.),1,02-16-2019
Belmont Abbey,3,Emmanuel (Ga.),2,02-16-2019
Concordia (CA),0,Stanford,3,02-16-2019
USC,1,BYU,3,02-16-2019
Queens (N.C.),3,Alderson-Broad.,1,02-17-2019
Lincoln Memorial,0,Hawaii,3,02-17-2019
Mount Olive,1,Barton,3,02-19-2019
Emmanuel (Ga.),3,Erskine,1,02-19-2019
North Greenville,3,Belmont Abbey,0,02-19-2019
Limestone,2,King (Tenn.),3,02-19-2019
Quincy,0,Lindenwood (MO),3,02-20-2019
Coker,3,Mount Olive,2,02-20-2019
UCLA,3,Concordia (CA),0,02-20-2019
Lewis,3,Ohio St.,2,02-21-2019
Fort Wayne,3,Ball State,0,02-21-2019
Loyola Chicago,3,McKendree,1,02-21-2019
Grand Canyon,0,Stanford,3,02-21-2019
NJIT,1,Sacred Heart,3,02-22-2019
St. Francis (Pa.),3,Charleston (WVa),0,02-22-2019
Mount Olive,2,Queens (N.C.),3,02-22-2019
Coker,1,Erskine,3,02-22-2019
Princeton,3,Harvard,1,02-22-2019
Penn St.,0,George Mason,3,02-22-2019
Limestone,3,North Greenville,1,02-22-2019
Pepperdine,3,Concordia (CA),1,02-22-2019
Lewis,3,McKendree,1,02-23-2019
NJIT,2,Harvard,3,02-23-2019
Grand Canyon,1,BYU,3,02-23-2019
Barton,3,Queens (N.C.),0,02-23-2019
Lees-McRae,0,North Greenville,3,02-23-2019
UC San Diego,0,Stanford,3,02-23-2019
Coker,0,Emmanuel (Ga.),3,02-23-2019
Princeton,3,Sacred Heart,0,02-23-2019
St. Francis (Pa.),3,George Mason,1,02-24-2019
USC,0,UCLA,3,02-24-2019
Penn St.,3,Charleston (WVa),0,02-24-2019
Loyola Chicago,3,Ohio St.,0,02-24-2019
Lindenwood (MO),3,Quincy,2,02-26-2019
Pepperdine,2,UCLA,3,02-27-2019
Erskine,1,North Greenville,3,02-27-2019
Emmanuel (Ga.),1,Limestone,3,02-27-2019
Lees-McRae,0,King (Tenn.),3,02-27-2019
Stanford,2,BYU,3,02-28-2019
Queens (N.C.),1,Lincoln Memorial,3,02-28-2019
North Greenville,3,Coker,1,02-28-2019
USC,3,Concordia (CA),2,02-28-2019
Lewis,3,Loyola Chicago,1,03-01-2019
Cumberland,0,Lincoln Memorial,3,03-01-2019
CSUN,0,Long Beach St.,3,03-01-2019
NJIT,0,St. Francis (Pa.),3,03-01-2019
Hawaii,3,UC Irvine,0,03-01-2019
Princeton,3,Penn St.,1,03-01-2019
UCLA,3,Grand Canyon,1,03-01-2019
Harvard,1,Charleston (WVa),3,03-01-2019
UC San Diego,0,UC Santa Barb.,3,03-01-2019
McKendree,1,Ohio St.,3,03-01-2019
Barton,3,Belmont Abbey,1,03-01-2019
Emmanuel (Ga.),1,Coker,3,03-01-2019
Lindenwood (MO),0,Ball State,3,03-01-2019
Queens (N.C.),2,King (Tenn.),3,03-01-2019
Sacred Heart,0,George Mason,3,03-01-2019
Alderson-Broad.,0,Lees-McRae,0,03-01-2019
Sacred Heart,1,George Mason,3,03-02-2019
Long Beach St.,3,CSUN,0,03-02-2019
BYU,1,Stanford,3,03-02-2019
NJIT,1,Penn St.,3,03-02-2019
North Greenville,3,Bluefield Col.,0,03-02-2019
Hawaii,3,UC Irvine,0,03-02-2019
Princeton,1,St. Francis (Pa.),3,03-02-2019
Quincy,0,Ball State,3,03-02-2019
Harvard,3,Charleston (WVa),0,03-02-2019
Pepperdine,1,USC,3,03-02-2019
Lindenwood (MO),0,Fort Wayne,3,03-03-2019
McKendree,3,Ohio St.,2,03-03-2019
Coker,2,North Greenville,3,03-04-2019
Quincy,0,Fort Wayne,3,03-04-2019
NJIT,2,Princeton,3,03-05-2019
Saint Katherine,2,Concordia (CA),3,03-06-2019
Emmanuel (Ga.),2,Lincoln Memorial,3,03-06-2019
King (Tenn.),0,Hawaii,3,03-07-2019
Pepperdine,3,Ball State,0,03-07-2019
Stanford,0,Long Beach St.,3,03-08-2019
Ottawa (AZ),1,Concordia (CA),3,03-08-2019
Loyola Chicago,2,Grand Canyon,3,03-08-2019
Ohio St.,0,UCLA,3,03-08-2019
King (Tenn.),0,Pepperdine,3,03-08-2019
Ball State,0,Hawaii,3,03-08-2019
Princeton,3,NJIT,2,03-08-2019
Penn St.,2,USC,3,03-08-2019
UC Irvine,1,BYU,3,03-08-2019
Quincy,0,McKendree,3,03-08-2019
UC San Diego,2,Concordia (CA),3,03-08-2019
Lincoln Memorial,1,Mount Olive,3,03-08-2019
Emmanuel (Ga.),1,Charleston (WVa),3,03-08-2019
Lindenwood (MO),1,UC Santa Barb.,3,03-08-2019
St. Francis (Pa.),0,CSUN,3,03-08-2019
Lewis,3,Princeton,0,03-09-2019
Stanford,3,UC San Diego,0,03-09-2019
St. Francis (Pa.),0,Long Beach St.,3,03-09-2019
Pepperdine,0,Hawaii,3,03-09-2019
Loyola Chicago,2,Grand Canyon,3,03-09-2019
Ohio St.,2,USC,3,03-09-2019
Culver-Stockton,0,Quincy,3,03-09-2019
Penn St.,0,UCLA,3,03-09-2019
UC Irvine,3,BYU,1,03-09-2019
Lincoln Memorial,3,Lees-McRae,1,03-09-2019
Emmanuel (Ga.),3,Charleston (WVa),2,03-09-2019
Lindenwood (MO),0,CSUN,3,03-09-2019
Ball State,3,King (Tenn.),0,03-09-2019
Lourdes,3,Belmont Abbey,2,03-11-2019
Lewis,3,NJIT,0,03-11-2019
George Mason,0,Pepperdine,3,03-12-2019
Lourdes,3,Erskine,0,03-12-2019
Lindenwood (MO),0,UC San Diego,3,03-12-2019
North Greenville,0,Life (GA),3,03-12-2019
UC Irvine,0,Concordia (CA),3,03-13-2019
Lourdes,2,Limestone,3,03-13-2019
Belmont Abbey,3,Queens (N.C.),1,03-13-2019
Coker,2,St. Andrews,3,03-13-2019
Pepperdine,3,Stanford,0,03-14-2019
Lees-McRae,3,Alderson-Broad.,0,03-14-2019
UC Santa Barb.,2,Long Beach St.,3,03-14-2019
UCLA,2,BYU,3,03-14-2019
USC,1,Grand Canyon,3,03-14-2019
George Mason,2,Grand Canyon,3,03-15-2019
Long Beach St.,3,UC Santa Barb.,1,03-15-2019
CSUN,0,Hawaii,3,03-15-2019
NJIT,3,Charleston (WVa),0,03-15-2019
St. Francis (Pa.),0,Ball State,3,03-15-2019
Mount Olive,2,Emmanuel (Ga.),3,03-15-2019
Queens (N.C.),0,North Greenville,3,03-15-2019
Penn St.,1,Fort Wayne,3,03-15-2019
Lees-McRae,0,Ohio St.,3,03-15-2019
Quincy,1,King (Tenn.),3,03-15-2019
McKendree,3,Lindenwood (MO),0,03-15-2019
Coker,0,Limestone,3,03-15-2019
Barton,3,Erskine,0,03-15-2019
Loyola Chicago,1,Lewis,3,03-15-2019
George Mason,3,Grand Canyon,0,03-16-2019
Sacred Heart,0,Harvard,3,03-16-2019
CSUN,0,Hawaii,3,03-16-2019
NJIT,3,Charleston (WVa),0,03-16-2019
St. Francis (Pa.),2,Fort Wayne,3,03-16-2019
Mount Olive,3,Erskine,1,03-16-2019
Concordia (CA),1,USC,3,03-16-2019
Penn St.,1,Ball State,3,03-16-2019
Quincy,0,Lincoln Memorial,3,03-16-2019
UCLA,2,Stanford,3,03-16-2019
Barton,3,Emmanuel (Ga.),1,03-16-2019
Belmont Abbey,0,King (Tenn.),3,03-16-2019
Alderson-Broad.,0,Limestone,3,03-16-2019
Pepperdine,1,BYU,3,03-16-2019
Harvard,1,Barton,3,03-18-2019
NJIT,3,Belmont Abbey,0,03-18-2019
Ohio St.,0,Penn St.,3,03-19-2019
King (Tenn.),0,Lincoln Memorial,3,03-19-2019
Emmanuel (Ga.),0,North Greenville,3,03-19-2019
Lees-McRae,0,Belmont Abbey,3,03-19-2019
Harvard,3,Mount Olive,0,03-19-2019
Limestone,3,Erskine,0,03-19-2019
Lewis,3,Fort Wayne,2,03-21-2019
McKendree,0,Hawaii,3,03-21-2019
Princeton,2,BYU,3,03-21-2019
Loyola Chicago,3,Ball State,0,03-21-2019
Princeton,0,Hawaii,3,03-22-2019
Limestone,2,Mount Olive,3,03-22-2019
Lincoln Memorial,3,Coker,0,03-22-2019
McKendree,3,BYU,1,03-22-2019
North Greenville,0,Barton,3,03-22-2019
Erskine,0,King (Tenn.),3,03-22-2019
Emmanuel (Ga.),3,Lees-McRae,0,03-22-2019
Lindenwood (MO),3,Ohio St.,1,03-22-2019
Concordia (CA),0,Grand Canyon,3,03-22-2019
Bluefield Col.,0,Queens (N.C.),3,03-22-2019
Alderson-Broad.,0,Queens (N.C.),3,03-22-2019
Lewis,2,Ball State,3,03-23-2019
Long Beach St.,0,USC,3,03-23-2019
Loyola Chicago,3,Fort Wayne,1,03-23-2019
Hawaii,3,BYU,0,03-23-2019
Princeton,0,McKendree,3,03-23-2019
Limestone,0,Barton,3,03-23-2019
Erskine,3,Lees-McRae,0,03-23-2019
Quincy,0,Ohio St.,3,03-23-2019
Lincoln Memorial,3,Belmont Abbey,2,03-23-2019
North Greenville,2,Mount Olive,3,03-23-2019
Emmanuel (Ga.),0,King (Tenn.),3,03-23-2019
Concordia (CA),3,Ottawa (AZ),0,03-23-2019
Concordia (CA),3,Benedictine Mesa,2,03-23-2019
UC Irvine,0,Pepperdine,3,03-23-2019
St. Francis (Pa.),0,Penn St.,3,03-26-2019
King (Tenn.),3,North Greenville,0,03-26-2019
Hawaii,3,Concordia (CA),0,03-26-2019
Barton,3,Mount Olive,1,03-26-2019
Limestone,0,Belmont Abbey,3,03-26-2019
Coker,1,Queens (N.C.),3,03-26-2019
Ball State,0,Fort Wayne,3,03-26-2019
Brewton-Parker,0,Erskine,3,03-27-2019
UCLA,1,Pepperdine,3,03-27-2019
BYU,2,Concordia (CA),3,03-28-2019
Belmont Abbey,1,Barton,3,03-28-2019
McKendree,0,Loyola Chicago,3,03-28-2019
Long Beach St.,3,UC Irvine,1,03-29-2019
Lees-McRae,0,Limestone,3,03-29-2019
Queens (N.C.),0,Barton,3,03-29-2019
Charleston (WVa),0,Lourdes,3,03-29-2019
Belmont Abbey,3,Mount Olive,0,03-29-2019
McKendree,0,Lewis,3,03-29-2019
Lincoln Memorial,3,Erskine,1,03-29-2019
Fort Wayne,3,Quincy,0,03-29-2019
Penn St.,3,Harvard,1,03-29-2019
Lawrence Tech,0,Charleston (WVa),3,03-29-2019
Princeton,3,George Mason,1,03-29-2019
Ball State,2,Lindenwood (MO),3,03-29-2019
Hawaii,3,UC San Diego,0,03-29-2019
Ohio St.,0,Loyola Chicago,3,03-29-2019
Grand Canyon,0,Pepperdine,3,03-29-2019
Stanford,2,USC,3,03-29-2019
CSUN,2,UC Santa Barb.,3,03-29-2019
BYU,0,USC,3,03-30-2019
Erskine,1,Emmanuel (Ga.),3,03-30-2019
NJIT,1,George Mason,3,03-30-2019
St. Francis (Pa.),3,Harvard,2,03-30-2019
Ohio St.,0,Lewis,3,03-30-2019
King (Tenn.),3,Limestone,1,03-30-2019
Hawaii,3,UC San Diego,0,03-30-2019
Ball State,3,Quincy,1,03-30-2019
Penn St.,3,Sacred Heart,0,03-30-2019
UC Irvine,0,Long Beach St.,3,03-30-2019
Fort Wayne,3,Lindenwood (MO),2,03-30-2019
Belmont Abbey,3,North Greenville,2,03-30-2019
Queens (N.C.),1,Mount Olive,3,03-30-2019
Stanford,1,Concordia (CA),3,03-30-2019
UC Santa Barb.,0,CSUN,0,03-30-2019
Grand Canyon,1,UCLA,3,03-31-2019
St. Francis (Pa.),3,Sacred Heart,1,03-31-2019
Queens (N.C.),3,Lees-McRae,0,04-02-2019
Limestone,3,Coker,2,04-02-2019
BYU,2,Grand Canyon,3,04-04-2019
Ball State,3,McKendree,2,04-04-2019
Concordia (CA),0,UCLA,3,04-04-2019
Fort Wayne,2,Ohio St.,3,04-04-2019
USC,0,Pepperdine,3,04-04-2019
George Mason,0,St. Francis (Pa.),3,04-05-2019
Sacred Heart,0,NJIT,3,04-05-2019
Mount Olive,3,Lees-McRae,1,04-05-2019
UC Irvine,2,CSUN,3,04-05-2019
Quincy,0,Lewis,3,04-05-2019
UC Santa Barb.,0,Hawaii,3,04-05-2019
Erskine,0,Belmont Abbey,3,04-05-2019
UC San Diego,0,Long Beach St.,3,04-05-2019
North Greenville,2,Limestone,3,04-05-2019
Barton,1,King (Tenn.),3,04-05-2019
Charleston (WVa),0,Penn St.,3,04-05-2019
Lindenwood (MO),1,Loyola Chicago,3,04-05-2019
Harvard,2,Princeton,3,04-05-2019
George Mason,3,Penn St.,0,04-06-2019
Fort Wayne,2,McKendree,3,04-06-2019
Lindenwood (MO),0,Lewis,3,04-06-2019
Charleston (WVa),1,St. Francis (Pa.),3,04-06-2019
Emmanuel (Ga.),0,Belmont Abbey,3,04-06-2019
Barton,3,Lees-McRae,0,04-06-2019
Harvard,0,NJIT,3,04-06-2019
UC Santa Barb.,1,Hawaii,3,04-06-2019
UCLA,2,USC,3,04-06-2019
Concordia (CA),0,Pepperdine,3,04-06-2019
Quincy,0,Loyola Chicago,3,04-06-2019
Limestone,2,Queens (N.C.),3,04-06-2019
Ball State,2,Ohio St.,3,04-06-2019
Mount Olive,1,King (Tenn.),3,04-06-2019
Stanford,3,Grand Canyon,0,04-06-2019
CSUN,2,UC Irvine,3,04-06-2019
Long Beach St.,3,UC San Diego,0,04-06-2019
Sacred Heart,0,Princeton,3,04-06-2019
Coker,0,Barton,3,04-09-2019
George Mason,3,Harvard,0,04-12-2019
CSUN,3,UC San Diego,0,04-12-2019
St. Francis (Pa.),1,Princeton,3,04-12-2019
Hawaii,2,Long Beach St.,3,04-12-2019
Daemen,0,Lincoln Memorial,3,04-12-2019
UC Santa Barb.,0,UC Irvine,3,04-12-2019
Coker,1,Queens (N.C.),3,04-12-2019
Charleston (WVa),1,Sacred Heart,3,04-12-2019
Penn St.,3,NJIT,1,04-12-2019
George Mason,3,Harvard,0,04-13-2019
UC San Diego,1,CSUN,3,04-13-2019
Daemen,0,Coker,3,04-13-2019
Queens (N.C.),0,Lincoln Memorial,3,04-13-2019
Concordia (CA),0,UCLA,3,04-13-2019
Lindenwood (MO),0,Fort Wayne,3,04-13-2019
Charleston (WVa),0,Sacred Heart,3,04-13-2019
Emmanuel (Ga.),2,King (Tenn.),3,04-13-2019
North Greenville,3,Belmont Abbey,1,04-13-2019
Quincy,0,Lewis,3,04-13-2019
Erskine,0,Barton,3,04-13-2019
UC Irvine,3,UC Santa Barb.,1,04-13-2019
Limestone,3,Mount Olive,2,04-13-2019
Penn St.,0,Princeton,3,04-13-2019
Ball State,2,McKendree,3,04-13-2019
Hawaii,2,Long Beach St.,3,04-13-2019
