Team 1,Team 1 Score,Team 2,Team 2 Score,Date
CUI,3,St. Katherine,0,01-28-2022
Cal Lutheran,0,CSUN,3,01-28-2022
Lewis,0,Pepperdine,3,01-28-2022
Georgetown (KY),3,Central St. (OH),0,01-28-2022
Belmont Abbey,3,Reinhardt,0,01-29-2022
St. Francis Brooklyn,3,Daemen,2,01-29-2022
Belmont Abbey,3,Fort Valley St.,0,01-29-2022
LIU,0,Daemen,3,01-29-2022
Barton,1,Limestone,3,01-29-2022
Emmanuel (GA),3,Edward Waters,2,01-29-2022
Bluefield Col.,0,Lees-McRae,3,01-29-2022
Alderson Broaddus,3,Geneva,2,01-29-2022
St. Francis Brooklyn,3,D'Youville,1,01-29-2022
Fort Valley St.,0,Reinhardt,3,01-29-2022
Saint Francis (PA),3,Purdue Fort Wayne,2,01-29-2022
Charleston (WV),1,Queens (NC),3,01-29-2022
Bluefield Col.,3,Benedict,2,01-29-2022
McKendree,1,Lincoln Memorial,3,01-29-2022
LIU,3,D'Youville,1,01-29-2022
North Greenville,1,George Mason,3,01-29-2022
UC San Diego,3,Princeton,2,01-29-2022
Mount Olive,1,BYU,3,01-29-2022
Hawaii,0,Ball St.,3,01-29-2022
Lewis,3,UCLA,0,01-29-2022
Loyola Chicago,3,King (TN),2,01-29-2022
Penn St.,3,Long Beach St.,2,01-29-2022
Ohio St.,1,UC Santa Barbara,3,01-29-2022
Emmanuel (GA),1,Reinhardt,3,01-30-2022
Tusculum,1,Erskine,3,01-31-2022
Hawaii,2,Ball St.,3,01-31-2022
Medaille,0,Daemen,3,02-01-2022
Tusculum,0,North Greenville,3,02-01-2022
Life (GA),,Fort Valley St.,,02-01-2022
Benedict,1,Belmont Abbey,3,02-02-2022
Fairleigh Dickinson,0,Sacred Heart,3,02-02-2022
Hilbert,0,D'Youville,3,02-02-2022
UC San Diego,0,Southern California,3,02-02-2022
Edward Waters,1,Lees-McRae,3,02-03-2022
LIU,3,Alvernia,1,02-03-2022
Pepperdine,1,UC Santa Barbara,3,02-04-2022
Fairleigh Dickinson,0,Hawaii,3,02-04-2022
Fairleigh Dickinson,0,Stanford,3,02-04-2022
Belmont Abbey,3,Benedict,0,02-04-2022
Erskine,0,Lincoln Memorial,3,02-04-2022
Princeton,0,Penn St.,3,02-04-2022
King (TN),1,Limestone,3,02-04-2022
George Mason,0,Saint Francis (PA),3,02-04-2022
Grand View,3,Quincy,2,02-04-2022
Maryville (MO),0,McKendree,3,02-04-2022
Queens (NC),0,Hawaii,3,02-04-2022
Ball St.,2,BYU,3,02-04-2022
UC Merced,1,CSUN,3,02-04-2022
CUI,3,UC San Diego,1,02-04-2022
Southern California,1,Long Beach St.,3,02-04-2022
UCLA,3,UC Irvine,1,02-04-2022
Edward Waters,,St. Andrews,,02-04-2022
Fort Valley St.,,North Greenville,,02-04-2022
Alderson Broaddus,,Tusculum,,02-04-2022
Mount Olive,,Ohio St.,,02-04-2022
Fort Valley St.,,Emmanuel (GA),,02-04-2022
St. Francis Brooklyn,,Charleston (WV),,02-04-2022
Purdue Fort Wayne,,Harvard,,02-04-2022
Grand Canyon,,Loyola Chicago,,02-04-2022
Central St. (OH),,Lewis,,02-04-2022
Nichols,3,American Int'l,0,02-05-2022
Russell Sage,0,American Int'l,3,02-05-2022
Edward Waters,0,North Greenville,3,02-05-2022
Fairleigh Dickinson,3,Queens (NC),,02-05-2022
Emmanuel (GA),0,Lincoln Memorial,3,02-05-2022
Alderson Broaddus,0,Limestone,3,02-05-2022
Princeton,1,Saint Francis (PA),3,02-05-2022
Webber Int'l,3,Morehouse,0,02-05-2022
Stanford,1,Hawaii,3,02-05-2022
George Mason,0,Penn St.,3,02-05-2022
Grand Canyon,2,Lewis,3,02-05-2022
UC Irvine,2,UCLA,3,02-05-2022
Ball St.,3,BYU,1,02-05-2022
Erskine,,Tusculum,,02-05-2022
Mount Olive,,Ohio St.,,02-05-2022
Purdue Fort Wayne,,Sacred Heart,,02-05-2022
St. Francis Brooklyn,,Charleston (WV),,02-05-2022
Central St. (OH),,Loyola Chicago,,02-05-2022
Maryville (MO),,Lindenwood,,02-05-2022
St. John Fisher,2,Daemen,3,02-06-2022
LIU,0,Hawaii,3,02-08-2022
King (TN),0,Lees-McRae,3,02-08-2022
North Greenville,1,Erskine,3,02-08-2022
Limestone,2,Emmanuel (GA),3,02-08-2022
Saint Vincent,,Alderson Broaddus,,02-08-2022
Wells,0,D'Youville,2,02-09-2022
UHSP,0,Maryville (MO),3,02-09-2022
UC Santa Barbara,0,Southern California,3,02-09-2022
UCLA,3,UC San Diego,1,02-09-2022
Vanguard,0,CSUN,3,02-09-2022
Webber Int'l,,Edward Waters,,02-09-2022
UC Irvine,,Pepperdine,,02-09-2022
Ohio St.,1,McKendree,3,02-10-2022
Ball St.,3,Lewis,0,02-10-2022
CSUN,0,Southern California,3,02-10-2022
LIU,0,Hawaii,3,02-10-2022
Quincy,,Loyola Chicago,,02-10-2022
George Mason,0,NJIT,3,02-11-2022
Limestone,3,Tusculum,0,02-11-2022
Emmanuel (GA),3,Lees-McRae,0,02-11-2022
Erskine,0,King (TN),3,02-11-2022
Queens (NC),1,Lincoln Memorial,3,02-11-2022
Saint Francis (PA),3,Sacred Heart,2,02-11-2022
Barton,0,Belmont Abbey,3,02-11-2022
Mount Olive,2,North Greenville,3,02-11-2022
UC Santa Barbara,3,Grand Canyon,2,02-11-2022
Lindenwood,1,Purdue Fort Wayne,3,02-11-2022
UC San Diego,3,BYU,2,02-11-2022
Menlo,0,Stanford,3,02-11-2022
Pepperdine,1,UC Irvine,3,02-11-2022
Penn St.,,Harvard,,02-11-2022
Maryville (MO),,Central St. (OH),,02-11-2022
UCLA,,Long Beach St.,,02-11-2022
LIU,1,Hawaii,3,02-12-2022
Maryville (MO),3,Wittenberg,0,02-12-2022
American Int'l,0,Daemen,3,02-12-2022
Queens (NC),3,Tusculum,0,02-12-2022
Erskine,0,Lees-McRae,3,02-12-2022
Emmanuel (GA),2,King (TN),3,02-12-2022
Princeton,1,NJIT,3,02-12-2022
Barton,2,North Greenville,3,02-12-2022
Quincy,0,Purdue Fort Wayne,3,02-12-2022
Maryville (MO),3,Central St. (OH),2,02-12-2022
Penn St.,3,Sacred Heart,0,02-12-2022
Limestone,0,Lincoln Memorial,3,02-12-2022
Saint Francis (PA),3,Harvard,1,02-12-2022
American Int'l,0,D'Youville,3,02-12-2022
Ohio St.,1,Lewis,3,02-12-2022
George Mason,2,St. Francis Brooklyn,3,02-12-2022
Mount Olive,3,Belmont Abbey,1,02-12-2022
Fort Valley St.,0,Charleston (WV),3,02-12-2022
Ball St.,3,McKendree,1,02-12-2022
Lindenwood,1,Loyola Chicago,3,02-12-2022
UC Santa Barbara,3,Grand Canyon,2,02-12-2022
UC San Diego,3,BYU,2,02-12-2022
Fort Valley St.,0,Charleston (WV),3,02-13-2022
Princeton,3,St. Francis Brooklyn,1,02-13-2022
Elmira,0,Daemen,3,02-15-2022
North Greenville,3,King (TN),0,02-15-2022
Emmanuel (GA),1,Erskine,3,02-15-2022
Sacred Heart,3,American Int'l,0,02-15-2022
St. Francis Brooklyn,3,Fairleigh Dickinson,0,02-15-2022
Belmont Abbey,0,Limestone,3,02-16-2022
McKendree,3,Quincy,0,02-16-2022
Maryville (MO),1,Mo. Baptist,3,02-16-2022
Morehouse,,Life (GA),,02-16-2022
Thiel,,Alderson Broaddus,,02-16-2022
Loyola Chicago,3,Ohio St.,2,02-17-2022
Purdue Fort Wayne,2,Ball St.,3,02-17-2022
Edward Waters,1,Emmanuel (GA),3,02-18-2022
Lewis,2,Lindenwood,3,02-18-2022
CSUN,0,Stanford,3,02-18-2022
NJIT,3,Sacred Heart,0,02-18-2022
Queens (NC),0,Saint Francis (PA),3,02-18-2022
Charleston (WV),1,Princeton,3,02-18-2022
D'Youville,0,LIU,3,02-18-2022
Morehouse,0,Benedict,3,02-18-2022
Pepperdine,3,Grand Canyon,1,02-18-2022
UC Santa Cruz,0,UC San Diego,3,02-18-2022
CUI,0,UC Irvine,3,02-18-2022
BYU,0,UC Santa Barbara,3,02-18-2022
Central St. (OH),1,Campbellsville,3,02-18-2022
Fort Valley St.,0,Tusculum,3,02-18-2022
St. Francis Brooklyn,1,Harvard,3,02-18-2022
American Int'l,3,Russell Sage,1,02-18-2022
North Greenville,3,Lees-McRae,1,02-19-2022
Loyola Chicago,3,Ball St.,1,02-19-2022
Edward Waters,0,Limestone,3,02-19-2022
McKendree,3,Lindenwood,0,02-19-2022
Queens (NC),2,George Mason,3,02-19-2022
Erskine,0,Belmont Abbey,3,02-19-2022
Charleston (WV),0,Princeton,3,02-19-2022
St. Francis Brooklyn,3,Sacred Heart,2,02-19-2022
D'Youville,0,Fairleigh Dickinson,3,02-19-2022
Saint Francis (PA),0,Penn St.,3,02-19-2022
Long Beach St.,2,UCLA,3,02-19-2022
Lewis,3,Quincy,0,02-19-2022
CUI,0,UC San Diego,3,02-19-2022
BYU,1,UC Santa Barbara,3,02-19-2022
Lincoln Memorial,0,Hawaii,3,02-19-2022
NJIT,1,Harvard,3,02-19-2022
Graceland (IA),0,Maryville (MO),2,02-19-2022
Maryville (MO),3,UHSP,1,02-19-2022
Alderson Broaddus,,Mt. Vernon Naz.,,02-19-2022
Cornerstone,,Alderson Broaddus,,02-19-2022
D'Youville,0,Fairleigh Dickinson,3,02-20-2022
Purdue Fort Wayne,0,Ohio St.,3,02-20-2022
Pepperdine,1,Grand Canyon,3,02-20-2022
Lincoln Memorial,1,Hawaii,3,02-20-2022
Lincoln Memorial,0,Hawaii,3,02-20-2022
Tusculum,3,Emmanuel (GA),2,02-22-2022
Benedict,0,Erskine,3,02-22-2022
LIU,2,St. Francis Brooklyn,3,02-22-2022
Nazareth,1,Daemen,3,02-23-2022
Bluefield Col.,0,North Greenville,3,02-23-2022
Truett-McConnell,0,Edward Waters,3,02-23-2022
Lees-McRae,0,Belmont Abbey,3,02-23-2022
Fontbonne,1,Maryville (MO),3,02-23-2022
CUI,1,UCLA,3,02-23-2022
St. Katherine,0,CSUN,3,02-23-2022
Mount Olive,3,Barton,0,02-23-2022
Southern California,2,Pepperdine,3,02-23-2022
Quincy,0,Ohio St.,3,02-24-2022
Limestone,1,Queens (NC),3,02-24-2022
Lindenwood,1,Ball St.,3,02-24-2022
Loyola Chicago,2,McKendree,3,02-24-2022
Purdue Fort Wayne,3,Lewis,0,02-24-2022
King (TN),2,Mount Olive,3,02-25-2022
Lindenwood,0,Ohio St.,3,02-25-2022
Penn St.,3,St. Francis Brooklyn,0,02-25-2022
Central St. (OH),3,D'Youville,0,02-25-2022
Sacred Heart,1,Charleston (WV),3,02-25-2022
Saint Francis (PA),0,NJIT,3,02-25-2022
Fairleigh Dickinson,1,George Mason,3,02-25-2022
Quincy,0,Ball St.,3,02-25-2022
Grand Canyon,3,BYU,1,02-25-2022
Pepperdine,1,Southern California,3,02-25-2022
Stanford,0,Long Beach St.,3,02-25-2022
UCLA,3,CUI,0,02-25-2022
UC San Diego,1,UC Santa Barbara,3,02-25-2022
Belmont Abbey,2,Queens (NC),3,02-25-2022
Lees-McRae,3,Barton,2,02-25-2022
Maryville (MO),3,Kentucky St.,0,02-26-2022
Maryville (MO),3,Kentucky St.,0,02-26-2022
Central St. (OH),0,Daemen,3,02-26-2022
Sacred Heart,3,Charleston (WV),2,02-26-2022
Lees-McRae,1,Mount Olive,3,02-26-2022
King (TN),3,Barton,0,02-26-2022
Belmont Abbey,1,Emmanuel (GA),3,02-26-2022
Tusculum,3,Southern Va.,0,02-26-2022
Erskine,0,North Greenville,3,02-26-2022
Tusculum,1,Randolph-Macon,3,02-26-2022
Princeton,3,George Mason,2,02-26-2022
McKendree,2,Purdue Fort Wayne,3,02-26-2022
Saint Francis (PA),3,St. Francis Brooklyn,0,02-26-2022
Penn St.,3,NJIT,2,02-26-2022
Fairleigh Dickinson,3,Alderson Broaddus,1,02-26-2022
Lewis,0,Loyola Chicago,3,02-26-2022
Grand Canyon,3,BYU,2,02-26-2022
Stanford,1,CSUN,3,02-26-2022
Fairleigh Dickinson,3,Alderson Broaddus,1,02-27-2022
American Int'l,0,Nichols,3,02-27-2022
Saint Francis (PA),3,LIU,0,02-27-2022
American Int'l,1,Nichols,3,02-27-2022
American Int'l,0,Nichols,3,02-27-2022
Morehouse,0,Reinhardt,3,02-28-2022
Lincoln Memorial,3,Tusculum,0,03-01-2022
Limestone,3,Erskine,0,03-01-2022
CUI,3,Vanguard,1,03-01-2022
Queens (NC),3,Barton,1,03-02-2022
D'Youville,1,Daemen,3,03-02-2022
Lees-McRae,0,Bluefield Col.,3,03-02-2022
Belmont Abbey,2,King (TN),3,03-02-2022
Emmanuel (GA),1,North Greenville,3,03-02-2022
Benedictine (IL),0,Lewis,3,03-02-2022
Maryville (MO),1,Fontbonne,3,03-02-2022
Hawaii,2,UC San Diego,3,03-02-2022
Quincy,2,Lindenwood,3,03-03-2022
Grand Canyon,0,UCLA,3,03-03-2022
NJIT,3,CSUN,0,03-03-2022
Stanford,2,CUI,3,03-03-2022
Cal Lutheran,0,UC Santa Barbara,3,03-03-2022
Limestone,3,North Greenville,2,03-04-2022
Central St. (OH),3,Fort Valley St.,2,03-04-2022
Edward Waters,1,Erskine,3,03-04-2022
Fairleigh Dickinson,3,American Int'l,0,03-04-2022
George Mason,3,Sacred Heart,1,03-04-2022
Tusculum,3,Barton,1,03-04-2022
Kentucky St.,3,Morehouse,0,03-04-2022
Charleston (WV),0,Penn St.,3,03-04-2022
Princeton,1,Harvard,3,03-04-2022
NJIT,1,Long Beach St.,3,03-04-2022
Grand Canyon,0,UCLA,3,03-04-2022
Pepperdine,3,McKendree,0,03-04-2022
Purdue Fort Wayne,0,Loyola Chicago,3,03-04-2022
Emmanuel (GA),0,Lewis,3,03-04-2022
BYU,1,Southern California,3,03-04-2022
Hawaii,3,UC San Diego,0,03-04-2022
Stanford,1,CUI,3,03-04-2022
LIU,0,UC Santa Barbara,3,03-04-2022
Cornerstone,1,Maryville (MO),3,03-05-2022
Benedict,0,Edward Waters,3,03-05-2022
Kentucky St.,0,Fort Valley St.,3,03-05-2022
Central St. (OH),3,Morehouse,0,03-05-2022
Thomas More,1,Maryville (MO),3,03-05-2022
King (TN),3,Queens (NC),0,03-05-2022
Lindenwood,3,Quincy,0,03-05-2022
George Mason,3,Sacred Heart,2,03-05-2022
Charleston (WV),1,Saint Francis (PA),3,03-05-2022
Princeton,1,Harvard,3,03-05-2022
Maryville (MO),2,Cumberland (TN),3,03-05-2022
Tusculum,1,Mount Olive,3,03-05-2022
Lincoln Memorial,0,Ohio St.,3,03-05-2022
LIU,0,Long Beach St.,3,03-05-2022
Pepperdine,2,McKendree,3,03-05-2022
Emmanuel (GA),0,Loyola Chicago,3,03-05-2022
BYU,0,Southern California,3,03-05-2022
UC Irvine,3,CUI,2,03-05-2022
Lincoln Memorial,0,Ohio St.,3,03-06-2022
LIU,,St. Katherine,,03-06-2022
Maryville (MO),3,Fort Valley St.,0,03-07-2022
Alderson Broaddus,0,Erskine,3,03-07-2022
Maryville (MO),3,Morehouse,0,03-08-2022
Edward Waters,1,St. Francis Brooklyn,3,03-08-2022
Erskine,3,Benedict,0,03-08-2022
Penn St.,3,Ohio St.,0,03-08-2022
American Int'l,0,Sacred Heart,3,03-08-2022
Maryville (MO),3,Morehouse,0,03-08-2022
Maryville (MO),1,Benedict,3,03-09-2022
Alderson Broaddus,0,Lees-McRae,3,03-09-2022
Maryville (MO),3,Benedict,1,03-09-2022
Edward Waters,0,LIU,3,03-09-2022
UC San Diego,3,CUI,1,03-09-2022
George Mason,0,Southern California,3,03-09-2022
McKendree,3,Limestone,0,03-10-2022
King (TN),3,Tusculum,0,03-10-2022
Long Beach St.,2,UC Irvine,3,03-10-2022
CSUN,0,UC Santa Barbara,3,03-10-2022
Lewis,0,Hawaii,3,03-11-2022
Benedict,0,Central St. (OH),3,03-11-2022
Ball St.,3,NJIT,1,03-11-2022
Edward Waters,3,Kentucky St.,0,03-11-2022
LIU,3,Sacred Heart,2,03-11-2022
Fairleigh Dickinson,0,Saint Francis (PA),3,03-11-2022
St. Francis Brooklyn,2,SUNY New Paltz,3,03-11-2022
Alderson Broaddus,1,Emmanuel (GA),3,03-11-2022
Purdue Fort Wayne,3,Charleston (WV),0,03-11-2022
George Mason,0,Pepperdine,3,03-11-2022
Lincoln Memorial,2,Lindenwood,3,03-11-2022
CUI,0,BYU,3,03-11-2022
Vanguard,1,Southern California,3,03-11-2022
UCLA,2,Stanford,3,03-11-2022
UC Irvine,0,Long Beach St.,3,03-11-2022
UC Santa Barbara,3,CSUN,0,03-11-2022
Edward Waters,1,Central St. (OH),3,03-12-2022
Quincy,1,Limestone,3,03-12-2022
Benedict,3,Kentucky St.,0,03-12-2022
Purdue Fort Wayne,3,Central St. (OH),0,03-12-2022
Lincoln Memorial,3,McKendree,0,03-12-2022
King (TN),3,Charleston (WV),2,03-12-2022
Indiana Tech,3,Tusculum,1,03-12-2022
Ohio St.,1,Saint Francis (PA),3,03-12-2022
Ball St.,3,Princeton,0,03-12-2022
Fort Valley St.,1,Emmanuel (GA),3,03-12-2022
George Mason,1,UC Irvine,3,03-12-2022
Harvard,0,Grand Canyon,3,03-12-2022
UCLA,3,Stanford,1,03-12-2022
CUI,1,BYU,3,03-12-2022
Lewis,1,Hawaii,3,03-13-2022
Limestone,2,Lindenwood,3,03-13-2022
Daemen,1,Loyola Chicago,3,03-13-2022
Quincy,3,Lincoln Memorial,2,03-13-2022
Ohio St.,1,Penn St.,3,03-13-2022
Harvard,0,Grand Canyon,3,03-13-2022
Daemen,3,Benedictine (IL),0,03-14-2022
Lincoln (IL),2,Maryville (MO),3,03-15-2022
St. Andrews,,Alderson Broaddus,,03-15-2022
Alderson Broaddus,,Bluefield Col.,,03-15-2022
Fort Valley St.,3,Benedict,1,03-16-2022
Reinhardt,3,Morehouse,0,03-16-2022
Belmont Abbey,2,Lees-McRae,3,03-16-2022
King (TN),0,North Greenville,3,03-16-2022
Ball St.,3,Ohio St.,2,03-16-2022
CSUN,0,Pepperdine,3,03-16-2022
Limestone,3,Alderson Broaddus,1,03-17-2022
McKendree,1,Lewis,3,03-17-2022
Daemen,2,Purdue Fort Wayne,3,03-17-2022
Ottawa (KS),0,CUI,3,03-17-2022
Limestone,3,Alderson Broaddus,0,03-18-2022
Daemen,3,Mount Union,1,03-18-2022
Morehouse,0,Fort Valley St.,3,03-18-2022
D'Youville,3,SUNY Potsdam,0,03-18-2022
Charleston (WV),0,NJIT,3,03-18-2022
Mount Olive,3,Erskine,0,03-18-2022
Penn St.,3,Princeton,1,03-18-2022
Barton,1,Emmanuel (GA),3,03-18-2022
North Greenville,3,Queens (NC),0,03-18-2022
Harvard,3,Sacred Heart,1,03-18-2022
Saint Francis (PA),0,George Mason,3,03-18-2022
Tusculum,0,Grand Canyon,3,03-18-2022
CUI,0,Long Beach St.,3,03-18-2022
Pepperdine,3,CSUN,0,03-18-2022
Menlo,0,Southern California,3,03-18-2022
NVU-Johnson,0,D'Youville,3,03-19-2022
Barton,2,Erskine,3,03-19-2022
Mount Olive,3,Emmanuel (GA),0,03-19-2022
Rutgers-Newark,0,Belmont Abbey,3,03-19-2022
Benedict,3,Morehouse,0,03-19-2022
Queens (NC),2,King (TN),3,03-19-2022
D'Youville,2,Elmira,3,03-19-2022
Charleston (WV),2,NJIT,3,03-19-2022
Belmont Abbey,3,Randolph-Macon,2,03-19-2022
Loyola Chicago,3,Purdue Fort Wayne,1,03-19-2022
Saint Francis (PA),0,Princeton,3,03-19-2022
Sacred Heart,1,Harvard,3,03-19-2022
Lewis,2,McKendree,3,03-19-2022
Ohio St.,1,Ball St.,3,03-19-2022
Tusculum,0,Grand Canyon,3,03-19-2022
Tusculum,1,Benedictine Mesa,3,03-19-2022
LIU,,Alderson Broaddus,,03-19-2022
Penn St.,3,George Mason,0,03-20-2022
Edward Waters,3,Fort Valley St.,1,03-20-2022
Lincoln Memorial,3,Emmanuel (GA),0,03-22-2022
Eastern Nazarene,1,Sacred Heart,3,03-22-2022
North Greenville,0,Belmont Abbey,3,03-22-2022
Lees-McRae,0,Benedict,3,03-22-2022
St. Francis Brooklyn,0,Princeton,3,03-23-2022
D'Youville,,Nazareth,,03-23-2022
Lewis,3,Purdue Fort Wayne,0,03-24-2022
Edward Waters,3,Morehouse,0,03-24-2022
McKendree,3,Loyola Chicago,2,03-24-2022
Alderson Broaddus,3,Kentucky St.,1,03-25-2022
UCLA,3,Morehouse,0,03-25-2022
King (TN),3,Emmanuel (GA),1,03-25-2022
American Int'l,0,LIU,3,03-25-2022
Edward Waters,3,Truett-McConnell,0,03-25-2022
Belmont Abbey,0,Mount Olive,3,03-25-2022
Fairleigh Dickinson,1,D'Youville,3,03-25-2022
Sacred Heart,3,Saint Francis (PA),2,03-25-2022
