,Team 1,Team 1 Score,Team 2,Team 2 Score
570,Lewis,1,Lindenwood,3
571,Quincy,3,Missouri S&T,2
572,Queens (NC),0,Ohio St.,3
573,UCLA,3,Vanguard,0
574,Southern California,3,Penn St.,0
575,Ball St.,0,Hawaii,3
576,Thomas More,3,D'Youville,1
577,Merrimack,3,St. Thomas Aquinas,0
578,LeMoyne-Owen,0,Benedict,3
579,NJIT,1,George Mason,3
580,King (TN),3,Erskine,1
581,Loyola Chicago,3,Purdue Fort Wayne,0
582,Tusculum,0,Charleston (WV),3
583,Lees-McRae,0,Emmanuel (GA),3
584,Belmont Abbey,3,Barton,1
585,North Greenville,0,Mount Olive,3
586,UC Santa Barbara,1,UC San Diego,3
587,CUI,0,Grand Canyon,3
588,Pepperdine,3,Stanford,1
589,UC Merced,0,Menlo,3
590,CSUN,0,Long Beach St.,3
591,Ball St.,0,Southern California,3
592,Penn St.,0,Hawaii,3
593,Thomas More,3,D'Youville,0
594,Roberts Wesleyan,0,Saint Francis,3
595,Tusculum,3,Charleston (WV),2
596,Queens (NC),0,Ohio St.,3
597,Belmont Abbey,0,Mount Olive,3
598,King (TN),1,Emmanuel (GA),3
599,North Greenville,0,Barton,3
600,Lees-McRae,0,Erskine,3
601,Quincy,1,Lindenwood,3
602,LeMoyne-Owen,0,Benedict,3
603,Edward Waters,3,Morehouse,0
604,Merrimack,0,George Mason,3
605,Edward Waters,3,Morehouse,0
606,Lewis,2,McKendree,3
607,Roberts Wesleyan,3,Saint Vincent,1
608,FDU,1,Sacred Heart,3
609,Vanguard,0,UCLA,3
610,CUI,0,Grand Canyon,3
611,Pepperdine,3,Stanford,1
612,Harvard,0,BYU,3
613,Princeton,0,Long Beach St.,3
614,Ball St.,3,Penn St.,2
615,Southern California,3,Hawaii,1
616,St. Thomas Aquinas,3,Dominican (NY),0
617,Jessup,0,Simpson (CA),3
618,Roberts Wesleyan,2,D'Youville,3
619,Harvard,1,BYU,3
620,Reinhardt,1,Emmanuel (GA),3
621,Lincoln Memorial,3,Tusculum,0
622,Truett-McConnell,0,Benedict,3
623,American Int'l,1,Regis (MA),3
624,Bethel (IN),3,Roosevelt,1
625,Mount Olive,3,Barton,0
626,Erskine,1,Catawba,3
627,Wittenberg,0,Charleston (WV),3
628,Morehouse,0,Benedict,3
629,Lindenwood,2,McKendree,3
630,Pacific Union,0,Jessup,3
631,Merrimack,3,Dominican (NY),0
632,Daemen,1,George Mason,3
633,Ball St.,3,Queens (NC),2
634,CSUN,3,Lewis,2
635,Fisher,0,American Int'l,3
636,Ohio St.,1,Loyola Chicago,3
637,Vanguard,3,CUI,2
638,FDU,1,LIU,3
639,Rockhurst,0,Missouri S&T,3
640,Daemen,0,UC Irvine,3
641,Purdue Fort Wayne,3,Quincy,2
642,D'Youville,0,Saint Francis,3
643,North Greenville,0,Lincoln Memorial,3
644,Edward Waters,3,Central St. (OH),2
645,Benedict,3,Morehouse,0
646,Sacred Heart,3,Merrimack,1
647,Mount Olive,3,Lees-McRae,1
648,Barton,3,King (TN),0
649,LeMoyne-Owen,0,Roosevelt,3
650,BYU,3,Grand Canyon,1
651,Menlo,0,Pepperdine,3
652,NJIT,1,Long Beach St.,3
653,LIU,2,FDU,3
654,Daemen,1,Princeton,3
655,Rockhurst,3,Roosevelt,0
656,Purdue Fort Wayne,1,Lindenwood,3
657,Barton,3,Lees-McRae,0
658,Erskine,0,Belmont Abbey,3
659,Ball St.,3,Queens (NC),1
660,Mount Olive,3,King (TN),0
661,Emmanuel (GA),2,North Greenville,3
662,Thomas More,0,Charleston (WV),3
663,Edward Waters,3,Central St. (OH),1
664,Rockhurst,3,LeMoyne-Owen,0
665,D'Youville,0,Saint Francis,3
666,Dominican (NY),2,Merrimack,3
667,UC Irvine,3,George Mason,0
668,Wabash,0,Maryville (MO),3
669,McKendree,3,Quincy,1
670,Ohio St.,2,Lewis,3
671,Roosevelt,1,Missouri S&T,3
672,Menlo,0,Pepperdine,3
673,CSUN,2,Loyola Chicago,3
674,St. Thomas Aquinas,2,Sacred Heart,3
675,BYU,0,Grand Canyon,3
676,Vanguard,0,CUI,3
677,NJIT,0,Long Beach St.,3
678,American Int'l,3,Emerson,2
679,Edward Waters,3,Warner,0
680,UC Santa Barbara,3,Cal Lutheran,2
681,King (TN),0,Tusculum,3
682,Catawba,3,Benedict,0
683,Roosevelt,3,Wis.-Stevens Point,2
684,McKendree,2,Ohio St.,3
685,Lindenwood,0,Loyola Chicago,3
686,Queens (NC),0,Lewis,3
687,Pepperdine,0,UCLA,3
688,CUI,3,Vanguard,1
689,Roberts Wesleyan,3,Dominican (NY),1
690,Edward Waters,3,LeMoyne-Owen,0
691,Saint Francis,3,FDU,1
692,Central St. (OH),0,Fort Valley St.,3
693,Daemen,2,LIU,3
694,St. Thomas Aquinas,0,Merrimack,3
695,Catawba,3,Lees-McRae,0
696,George Mason,3,Harvard,2
697,Tusculum,3,Thomas More,2
698,Princeton,3,Sacred Heart,1
699,Charleston (WV),0,Penn St.,3
700,Emmanuel (GA),0,Mount Olive,3
701,Erskine,2,Barton,3
702,Quincy,3,Ball St.,2
