Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
50,"Phinehas Wiley, Dominican (NY) (ECC)",Fr.,6-5,OH,84,29,0.345
51,"Jacob Fischer, Maryville (MO) (DI Independent)",Sr.,6-6,MB,102,34,0.333
51,"Matthew Gentry, Lincoln Memorial (DI Independent)",Sr.,6-7,MH,87,29,0.333
51,"Jaxon Hicks, Fort Valley St. (SIAC)",Jr.,6-3,OPP,78,26,0.333
51,"Diego Rosich, North Greenville (Conference Carolinas)",Sr.,6-5,OH,75,25,0.333
51,"Gavin Tate, Dominican (NY) (ECC)",Fr.,6-5,MB,66,22,0.333
51,"Henry Wedbush, Princeton (EIVA)",Jr.,6-4,S,75,25,0.333
57,"Merrick McHenry, UCLA (MPSF)",Sr.,6-7,OH,115,38,0.330
58,"Raje Alleyne, Quincy (MIVA)",Jr.,6-6,OPP,83,27,0.325
59,"Toby Ezeonu, Penn St. (EIVA)",Sr.,6-7,MB,112,36,0.321
60,"Jamal Ellis Carballo, FDU (NEC)",So.,6-6,OPP,77,24,0.312
61,"Maxim Grigoriev, UC Irvine (Big West)",So.,6-4,MB,117,36,0.308
62,"Griffin Fieseler, NJIT (EIVA)",Sr.,6-7,S,102,31,0.304
63,"Jack Bolz, George Mason (EIVA)",Sr.,6-7,OPP,79,24,0.304
64,"Kurt Nusterer, Hawaii (Big West)",So.,6-9,MB,103,31,0.301
65,"Sotiris Siapanis, Long Beach St. (Big West)",Jr.,6-3,OH,97,29,0.299
66,"Malachi Allen, Kentucky St. (SIAC)",Fr.,6-3,OPP,74,22,0.297
67,"Tinaishe Ndavazocheva, Ball St. (MIVA)",Jr.,6-6,OH,81,24,0.296
68,"Luke Kraft, Maryville (MO) (DI Independent)",Fr.,6-5,OPP,95,28,0.295
69,"Kyle Paulson, Southern California (MPSF)",Sr.,6-8,MB,106,31,0.292
70,"Griffin Wheatley, Lincoln Memorial (DI Independent)",Fr.,6-6,OH,65,19,0.292
71,"Jack Walmer, UC Santa Barbara (Big West)",Jr.,6-3,S,103,30,0.291
72,"Hayden Frear, Mount Olive (Conference Carolinas)",Sr.,6-3,OH,86,25,0.291
73,"Ryan Vena, Princeton (EIVA)",So.,6-7,MB,62,18,0.290
74,"Livan Moreno, LIU (NEC)",Sr.,6-3,OH,76,22,0.289
75,"Miks Ramanis, BYU (MPSF)",Jr.,6-4,OH,83,24,0.289
76,"Cameron Chambers, Maryville (MO) (DI Independent)",Sr.,6-0,S,87,25,0.287
77,"Caleb Rohlwing, Missouri S&T (DI Independent)",So.,6-7,MB,63,18,0.286
78,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Sr.,6-6,OPP,99,28,0.283
79,"Alaka‘i Todd, Hawaii (Big West)",Sr.,6-8,OPP,97,27,0.278
80,"Kory Grant, Mount Olive (Conference Carolinas)",So.,6-3,OPP,83,23,0.277
81,"Cole Ketrzynski, Pepperdine (MPSF)",Sr.,6-8,OPP,94,26,0.277
82,"Mark Frazier, Purdue Fort Wayne (MIVA)",Jr.,6-6,MB,98,27,0.276
83,"Ayden Shaw, Dominican (NY) (ECC)",Fr.,6-5,OH,84,23,0.274
83,"Michael de la Cruz, North Greenville (Conference Carolinas)",Jr.,6-3,MB,84,23,0.274
85,"Clarke Godbold, Long Beach St. (Big West)",Sr.,6-5,OPP,74,20,0.270
86,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",Sr.,6-0,OH,100,27,0.270
87,"Paul Stommel, Charleston (WV) (EIVA)",Jr.,6-3,S,86,23,0.267
88,"John Kerr, Penn St. (EIVA)",Sr.,6-6,OPP,106,28,0.264
89,"Kale Spencer, LIU (NEC)",So.,6-5,S,80,21,0.263
90,"Abdirahman Ahmed, Lees-McRae (Conference Carolinas)",So.,6-5,S,65,17,0.262
91,"Isaiah Vogel, Merrimack (NEC)",Fr.,6-3,OH,85,22,0.259
92,"Parker Van Buren, Loyola Chicago (MIVA)",Jr.,6-9,OH,94,24,0.255
93,"Andrew Deardorff, Saint Francis (NEC)",Jr.,6-5,OH,95,24,0.253
94,"Nathan Harlan, Long Beach St. (Big West)",Sr.,6-4,OH,103,26,0.252
95,"Jack Deuchar, Southern California (MPSF)",Jr.,6-9,OPP,100,25,0.250
95,"Justin Gregory, Mount Olive (Conference Carolinas)",Sr.,6-6,OPP,84,21,0.250
95,"Jacob Malak, D'Youville (NEC)",Jr.,6-3,OH,60,15,0.250
98,"Jaron Popp, Sacred Heart (NEC)",Fr.,6-4,OPP,85,21,0.247
99,"David Fleischer, Maryville (MO) (DI Independent)",Jr.,6-7,MB,73,18,0.247
100,"Carlos Santa Cruz, Sacred Heart (NEC)",Sr.,6-5,S,108,26,0.241
