Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
39,"Jailen Jones, Kentucky St. (SIAC)",So.,0-0,,19,36,1.89
40,"Gabriel Dyer, Pepperdine (MPSF)",Jr.,6-5,S,74,140,1.89
41,"Jacob Bayston, Vanguard  (MPSF)",So.,5-10,L,84,156,1.86
42,"Ryan Merk, Penn St. (EIVA)",Sr.,6-0,L,75,138,1.84
43,"Makana Melchor, Menlo (MPSF)",Sr.,6-0,L,72,132,1.83
44,"Chris Karnezis, CSUN (Big West)",So.,6-1,L,87,159,1.83
45,"Chance Shampine, Queens (NC) (MIVA)",So.,6-2,OH,84,153,1.82
46,"Jacob Reilly, Pepperdine (MPSF)",So.,6-0,L,78,142,1.82
47,"Ryan DeJohn, Roberts Wesleyan (ECC)",Fr.,5-11,OH,83,151,1.82
48,"Cruse Ae'a, CUI (MPSF)",Sr.,6-1,L,69,125,1.81
49,"Tate Sandvig, Mount Olive (Conference Carolinas)",Sr.,6-5,OH,53,96,1.81
50,"Seth Deppe, Barton (Conference Carolinas)",Sr.,6-2,S,88,158,1.80
51,"Richard Kaminski, Saint Francis (NEC)",Sr.,6-2,L,67,120,1.79
52,"JJ Sowa, Loyola Chicago (MIVA)",Jr.,5-11,L,85,152,1.79
53,"Tate Colebaugh, Lincoln Memorial (DI Independent)",Jr.,5-8,L,70,125,1.79
54,"Kai Cousins, Charleston (WV) (EIVA)",Fr.,6-1,OH,77,136,1.77
55,"Cole Schobel, UC Santa Barbara (Big West)",So.,6-1,S,61,107,1.75
56,"Roan Alviar, Princeton (EIVA)",Fr.,5-9,L,72,126,1.75
56,"Joe Karlous, UC Irvine (Big West)",Sr.,6-0,S,68,119,1.75
56,"Logan Shepherd, Harvard (EIVA)",Sr.,6-4,OH,56,98,1.75
59,"Evan Porter, Stanford (MPSF)",Fr.,6-0,L/DS,71,124,1.75
60,"Andrea Di Paola, Roosevelt  (DI Independent)",Sr.,6-5,OH,67,117,1.75
61,"Alex Weinhaus, LIU (NEC)",Sr.,5-8,L,59,103,1.75
62,"Kyle Zelasko, Daemen (NEC)",Jr.,5-10,DB,75,130,1.73
63,"Tyler Roukey, Dominican (NY) (ECC)",So.,5-11,L,78,134,1.72
64,"Andrew Mayer, Purdue Fort Wayne (MIVA)",So.,6-3,L,87,149,1.71
65,"Jackson Fife, BYU (MPSF)",Jr.,6-0,L,75,128,1.71
66,"Jose Angarita, FDU (NEC)",Sr.,6-2,S,60,102,1.70
66,"‘Eleu Choy, Hawaii (Big West)",Sr.,5-7,L/DS,90,153,1.70
68,"Wojciech Nowak, Menlo (MPSF)",So.,6-3,OH,73,124,1.70
69,"Nathan Jacques, Rockhurst (DI Independent)",So.,6-0,S,78,132,1.69
69,"Diego Lopez, NJIT (EIVA)",So.,6-1,OH,78,132,1.69
71,"Shane Wetzel, Ohio St. (MIVA)",Jr.,6-7,OPP,89,150,1.69
72,"Cooper Herndon, Grand Canyon (MPSF)",Sr.,6-1,L,73,123,1.68
73,"Caden Day, Belmont Abbey (Conference Carolinas)",Jr.,6-5,OH,60,101,1.68
74,"Matthew Pilch, Queens (NC) (MIVA)",Sr.,6-3,OH,85,143,1.68
75,"Colton Bueter, King (TN) (Conference Carolinas)",Jr.,6-2,OH,75,126,1.68
76,"Jaxon Herr, Grand Canyon (MPSF)",Jr.,6-6,S,77,129,1.68
77,"Aidan Feeney, Emmanuel (GA) (Conference Carolinas)",Jr.,6-5,OH,75,125,1.67
78,"Cameron Lee, Maryville (MO) (DI Independent)",Sr.,6-1,OH,77,128,1.66
79,"Blake Hosic, Mount Olive (Conference Carolinas)",Sr.,6-3,OH,53,88,1.66
80,"Chase Celichowski, LIU (NEC)",Jr.,6-5,OH,64,106,1.66
81,"Joao Pedro Ribeiro, King (TN) (Conference Carolinas)",Fr.,0-0,S,84,139,1.65
82,"Logan Taylor, North Greenville (Conference Carolinas)",So.,6-3,S,74,122,1.65
83,"Caleb Blanchette, Southern California (MPSF)",So.,6-5,S,72,118,1.64
84,"Joonatan Salpakari, Charleston (WV) (EIVA)",Jr.,6-3,L,77,126,1.64
85,"Kevin Schuele, McKendree (MIVA)",Sr.,6-4,OH,82,134,1.63
86,"Aaron Sallade, Missouri S&T (DI Independent)",Jr.,6-6,OPP,72,117,1.63
86,"Pablo Zamar, Erskine (Conference Carolinas)",Sr.,6-4,OH,56,91,1.63
88,"Daryl McClain, LeMoyne-Owen (SIAC)",Fr.,6-5,OH,50,81,1.62
89,"Kyran Versteegen, St. Thomas Aquinas (ECC)",So.,6-4,S,62,100,1.61
90,"Patrick Rogers, Ball St. (MIVA)",Jr.,6-7,OH,105,169,1.61
91,"Thomas Roper, North Greenville (Conference Carolinas)",So.,6-4,OH,72,115,1.60
92,"Constantine Ononye, Fort Valley St. (SIAC)",Fr.,0-0,,64,102,1.59
93,"Ben Ratliff-Becher, Lees-McRae (Conference Carolinas)",Jr.,5-10,L/DS,86,137,1.59
94,"Reece Lindstrom, Merrimack (DI Independent)",So.,6-6,S,49,78,1.59
95,"Deklan Wingo, Tusculum (DI Independent)",Sr.,6-4,OH,90,143,1.59
96,"Zachary Carff, Missouri S&T (DI Independent)",Jr.,6-5,OH,72,114,1.58
96,"Armaan Dosanjh, Quincy (MIVA)",Jr.,6-3,S,84,133,1.58
98,"Zach Solomon, Lindenwood (MIVA)",Jr.,6-3,S,81,128,1.58
99,"Roei Horovitz, LIU (NEC)",So.,6-3,S,64,101,1.58
100,"Trent Findley, Kentucky St. (SIAC)",Jr.,6-3,MB,21,33,1.57
