Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
27,"Kohl Kutsch, Lincoln Memorial (DI Independent)",Fr.,6-4,S,68,127,1.87
28,"Troy Gooch, UCLA (MPSF)",Sr.,6-0,L,105,196,1.87
29,"Grady Hoffman, FDU (NEC)",So.,6-1,L,82,153,1.87
30,"Matt Oakley, Loyola Chicago (MIVA)",Jr.,6-1,L,103,191,1.85
31,"Ryan Merk, Penn St. (EIVA)",So.,6-0,L,108,200,1.85
32,"Brandon Johnston, Barton (Conference Carolinas)",Jr.,6-3,OH,76,140,1.84
33,"Max Gordon, UC Santa Barbara (Big West)",So.,6-1,L,82,151,1.84
34,"Joe Karlous, UC Irvine (Big West)",Jr.,6-0,S,108,198,1.83
35,"Dominik Wagiel, Quincy (MIVA)",So.,5-9,L/DS,94,172,1.83
36,"Jackson Chadwell, North Greenville (Conference Carolinas)",Fr.,6-0,L,76,139,1.83
37,"Jamal Gray, Kentucky St. (SIAC)",So.,5-6,L,86,156,1.81
38,"Sean Califf, Daemen (NEC)",Sr.,6-5,S,85,153,1.80
38,"Curtis Raines, Charleston (WV) (EIVA)",So.,5-9,L,90,162,1.80
40,"Terran Walkin, Benedict (SIAC)",So.,6-0,S,68,122,1.79
41,"Carlos Pinto, Central St. (OH) (SIAC)",So.,6-0,S,88,157,1.78
42,"Jacob Reilly, CUI (MPSF)",Fr.,6-0,L,97,173,1.78
43,"Gio Collazo, LIU (NEC)",So.,6-2,OH,96,170,1.77
44,"Ryan Wilcox, UC Santa Barbara (Big West)",Sr.,6-2,OH,98,173,1.77
45,"Alex Ruiz, Erskine (Conference Carolinas)",So.,5-10,L,83,146,1.76
46,"John Rivera Ortiz, American Int'l (DI Independent)",So.,6-2,OH,61,107,1.75
47,"Devyn  Hardwick, Morehouse (SIAC)",Fr.,5-8,S,40,70,1.75
48,"Warren Davis, King (TN) (Conference Carolinas)",Jr.,6-0,OH,124,212,1.71
49,"Luca Holanda, LIU (NEC)",So.,6-2,S,90,153,1.70
49,"Matt Mongin, St. Francis Brooklyn (NEC)",Jr.,6-5,S,70,119,1.70
51,"Jack Brinkman, Queens (NC) (DI Independent)",Sr.,6-2,OH,86,146,1.70
52,"Jacob Pasteur, Ohio St. (MIVA)",Jr.,6-4,OH,119,202,1.70
53,"Myles Tucker, Morehouse (SIAC)",Fr.,0-0,,42,71,1.69
54,"Patrick Rogers, St. Francis Brooklyn (NEC)",Fr.,6-6,OH,80,135,1.69
55,"Thomas Poole, Ohio St. (MIVA)",Jr.,5-9,L,108,182,1.69
56,"Jack Walmer, UC Santa Barbara (Big West)",So.,6-3,S,95,160,1.68
57,"Tate Sandvig, Mount Olive (Conference Carolinas)",So.,6-5,OH,99,166,1.68
58,"Jackson Lahey, Mount Olive (Conference Carolinas)",Fr.,6-2,S,98,164,1.67
59,"David Flores, Ball St. (MIVA)",Sr.,6-1,S,88,147,1.67
60,"Sotiris Siapanis, Long Beach St. (Big West)",So.,6-3,OH,89,148,1.66
61,"Tate Colebaugh, Lincoln Memorial (DI Independent)",Fr.,5-8,L/DS,74,123,1.66
62,"Carlos Ferreiro, Emmanuel (GA) (Conference Carolinas)",Fr.,0-0,,103,171,1.66
63,"Cal Fisher, Penn St. (EIVA)",Sr.,6-3,OPP,76,126,1.66
64,"Matthew Pilch, Queens (NC) (DI Independent)",So.,6-3,OH,83,136,1.64
65,"Dan Mangun, Loyola Chicago (MIVA)",So.,6-4,S,103,168,1.63
66,"Jason Sall, Erskine (Conference Carolinas)",Jr.,6-3,OH,93,151,1.62
67,"Paul Wyszynski, George Mason (EIVA)",Fr.,5-9,L,95,154,1.62
68,"Kyle Wilson, McKendree (MIVA)",Sr.,6-4,OH,84,136,1.62
69,"Bryan Pepen, Edward Waters (SIAC)",Fr.,6-1,OH,49,79,1.61
70,"Georgi Zahariev, George Mason (EIVA)",Fr.,6-7,S,92,148,1.61
71,"Brian Schwob, Queens (NC) (DI Independent)",Sr.,6-3,S,83,133,1.60
72,"Spyros Chakas, Hawaii (Big West)",Jr.,6-4,OH,90,144,1.60
72,"Justin Gregory, Mount Olive (Conference Carolinas)",Jr.,6-6,OPP,90,144,1.60
74,"Diego Villafane, Charleston (WV) (EIVA)",Sr.,6-1,S,83,132,1.59
75,"Francisco Comas, McKendree (MIVA)",Sr.,5-6,L,92,146,1.59
76,"Cameron Chambers, Maryville (MO) (DI Independent)",Jr.,6-0,S,89,141,1.58
77,"Mitchel Worthington, BYU (MPSF)",Sr.,5-8,L,101,160,1.58
78,"Logan Shepherd, Harvard (EIVA)",So.,6-4,OH,88,139,1.58
79,"Matthew Staskunas, Belmont Abbey (Conference Carolinas)",So.,6-5,OH,101,158,1.56
80,"Taylan Cook, CSUN (Big West)",Sr.,6-2,L,98,153,1.56
81,"Dayne Chalmers, UC Santa Barbara (Big West)",Jr.,6-4,OH,87,135,1.55
82,"Kevin Schuele, McKendree (MIVA)",So.,6-4,OH,75,116,1.55
83,"Jalen Campbell, Morehouse (SIAC)",So.,5-10,DB,55,85,1.55
84,"M.J. Doyle, Lees-McRae (Conference Carolinas)",Sr.,6-2,OH,81,125,1.54
85,"Henrik Westhoff, Emmanuel (GA) (Conference Carolinas)",Sr.,6-6,S,97,149,1.54
86,"Gabriel Dyer, UC San Diego (Big West)",So.,6-5,S,88,135,1.53
87,"Hayden Frear, Mount Olive (Conference Carolinas)",Jr.,6-3,OH,90,138,1.53
87,"Tyrone Sands, Central St. (OH) (SIAC)",So.,6-4,MH,75,115,1.53
89,"Kaleb Jenness, Ball St. (MIVA)",Sr.,6-6,OH,98,150,1.53
90,"Lachlan Bray, Charleston (WV) (EIVA)",Sr.,6-5,OH,85,130,1.53
91,"Nate Tennant, Southern California (MPSF)",Jr.,6-4,S,91,139,1.53
92,"Hilir Henno, UC Irvine (Big West)",So.,6-8,OH,99,151,1.53
93,"Cole Bogner, Penn St. (EIVA)",Sr.,6-3,S,109,166,1.52
94,"Ras Jesse Delancy, Benedict (SIAC)",So.,6-6,OH,69,105,1.52
94,"Nate Rogers, Alderson Broaddus (DI Independent)",Fr.,0-0,OH,92,140,1.52
96,"Noah Melendez, Purdue Fort Wayne (MIVA)",Sr.,5-10,L,100,152,1.52
97,"Jason Gibbs, Lewis (MIVA)",Sr.,6-3,L,95,144,1.52
98,"Uriel Batista, CUI (MPSF)",Sr.,6-4,OPP,90,136,1.51
99,"Aidan Knipe, Long Beach St. (Big West)",Jr.,6-3,S,87,131,1.51
100,"Jack Bolz, George Mason (EIVA)",Jr.,6-7,OPP,84,126,1.50
100,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Jr.,6-4,OH,76,114,1.50
100,"Robert Santana, American Int'l (DI Independent)",Fr.,6-1,OH,76,114,1.50
100,"Justin Yates, Fort Valley St. (SIAC)",So.,6-2,S,90,135,1.50
