Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
66,"Lucas Galifos, McKendree (MIVA)",Sr.,6-6,,3,6,0,8,2.67
66,"Bradley Peters, Lees-McRae (Conference Carolinas)",So.,6-2,S,3,2,1,8,2.67
69,"Aaron Milstead, King (TN) (Conference Carolinas)",Jr.,6-4,RS,5,6,2,13,2.60
70,"Dawson Walker, Lincoln Memorial (DI Independent)",So.,6-6,,12,14,6,31,2.58
71,"Samuel Clark, Ohio St. (MIVA)",So.,6-6,MB,6,7,2,15,2.50
72,"Felix Egharevba, Ball St. (MIVA)",Jr.,6-5,MH,7,7,5,17,2.43
72,"Andrew Lyons, Loyola Chicago (MIVA)",So.,6-7,,7,9,3,17,2.43
74,"Jon Fuller, Erskine (Conference Carolinas)",Fr.,6-3,MB,11,17,5,26,2.36
75,"Riley Mulkey, Belmont Abbey (Conference Carolinas)",Jr.,6-5,MB,4,6,1,9,2.25
76,"TJ Murray, Lewis (MIVA)",Sr.,6-9,MB,9,10,0,19,2.11
77,"Tom Curry, North Greenville (Conference Carolinas)",Fr.,6-2,OH,4,4,1,8,2.00
77,"Ethan Gardner, Lees-McRae (Conference Carolinas)",Sr.,6-5,MB,3,2,4,6,2.00
77,"Christos Gkitersos, Limestone (DI Independent)",So.,6-4,S,8,7,2,16,2.00
80,"Jack Wozniak, Tusculum (DI Independent)",Fr.,6-5,MB,7,4,4,13,1.86
81,"Jon Igo, Limestone (DI Independent)",Jr.,6-7,MB,8,8,2,14,1.75
81,"William Morris, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,4,3,1,7,1.75
83,"Jaelin Gray, Alderson Broaddus (DI Independent)",Fr.,6-1,MB,3,4,1,5,1.67
84,"Cooper Coleman, Quincy (MIVA)",Jr.,6-11,MH,9,8,3,14,1.56
85,"Sergio Carrillo, North Greenville (Conference Carolinas)",Jr.,6-5,S,4,2,1,6,1.50
86,"Che' Arbo, Alderson Broaddus (DI Independent)",Fr.,6-1,S,3,1,0,4,1.33
87,"Kevin Kauling, Lewis (MIVA)",So.,6-8,S,10,7,1,13,1.30
88,"Lucas Blanco, Tusculum (DI Independent)",So.,6-3,S,7,1,2,9,1.29
89,"Kellan Kennedy, King (TN) (Conference Carolinas)",Fr.,6-6,MB,5,3,2,6,1.20
90,"AJ Drooker, King (TN) (Conference Carolinas)",Fr.,6-3,S,5,2,1,5,1.00
90,"Quinn Isaacson, Ball St. (MIVA)",Sr.,6-2,S,9,5,0,9,1.00
90,"Ryan Serrano, McKendree (MIVA)",Jr.,6-3,,3,2,0,3,1.00
93,"Yoran Raymaekers, Quincy (MIVA)",Sr.,6-4,S,9,0,0,8,0.89
94,"Garrett Zolg, Loyola Chicago (MIVA)",Sr.,6-3,,7,2,1,6,0.86
95,"Steven Nalls, Lees-McRae (Conference Carolinas)",So.,6-0,L,3,0,1,2,0.67
96,"Noam Hannoun, Quincy (MIVA)",Jr.,5-11,L,9,0,0,5,0.56
96,"AJ Risavy, Lincoln Memorial (DI Independent)",Jr.,6-7,,9,2,0,5,0.56
98,"Brennan Davis, Belmont Abbey (Conference Carolinas)",Sr.,6-0,S,4,0,0,2,0.50
99,"Juan Alcoba, Erskine (Conference Carolinas)",Fr.,6-3,S,11,3,0,5,0.45
100,"Luis Velez, George Mason (EIVA)",Sr.,6-4,,7,1,0,2,0.29
