Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
68,"Alain Tamo-Noche, Central St. (OH) (SIAC)",Jr.,6-1,OH,105,11,63,74,0.705
69,"Seth Deppe, Barton (Conference Carolinas)",Jr.,6-2,S,92,15,49,64,0.696
70,"Piotr Wymoczyl, Lewis (MIVA)",So.,6-6,MB,82,6,51,57,0.695
71,"Sam Lane, Saint Francis (NEC)",So.,6-6,MB,94,6,59,65,0.691
72,"Justin Gregory, Mount Olive (Conference Carolinas)",Sr.,6-6,OPP,84,9,49,58,0.690
73,"Stirling Sims, Queens (NC) (MIVA)",Sr.,6-4,OPP,96,9,57,66,0.688
74,"Anthony Cherfan, UC San Diego (Big West)",Jr.,6-6,OPP,89,3,58,61,0.685
75,"Aidan Knipe, Long Beach St. (Big West)",Sr.,6-3,S,98,4,63,67,0.684
76,"Wiktor Ankurowski, Erskine (Conference Carolinas)",So.,6-5,MB,78,9,44,53,0.679
77,"Jack Sandahl, Barton (Conference Carolinas)",Jr.,6-3,OH,65,8,36,44,0.677
78,"Cooper Robinson, UCLA (MPSF)",Jr.,6-7,OH,95,5,59,64,0.674
79,"Parker Van Buren, Loyola Chicago (MIVA)",Jr.,6-9,OH,94,5,58,63,0.670
80,"James Bardin, Harvard (EIVA)",Jr.,6-7,S,81,10,44,54,0.667
80,"Dylan McClung , Sacred Heart (NEC)",Jr.,6-7,OH,96,14,50,64,0.667
80,"Ben Wiechert, Barton (Conference Carolinas)",Jr.,6-6,MB,72,4,44,48,0.667
83,"Jano Tello, CSUN (Big West)",Sr.,6-5,OH,95,1,62,63,0.663
84,"Justin Howard, Ohio St. (MIVA)",Sr.,6-6,MB,117,3,74,77,0.658
85,"Camden Gianni, Grand Canyon (MPSF)",Sr.,6-5,OPP,104,5,63,68,0.654
86,"Henry Wedbush, Princeton (EIVA)",Jr.,6-4,S,75,5,44,49,0.653
87,"Clement Osahon Jr., CUI (MPSF)",Jr.,6-5,MB,66,12,31,43,0.652
88,"Owen Fanning, Harvard (EIVA)",Jr.,6-7,OH,80,6,46,52,0.650
88,"Kale Spencer, LIU (NEC)",So.,6-5,S,80,8,44,52,0.650
90,"Dillon Klein, Southern California (MPSF)",So.,6-6,OH,102,6,60,66,0.647
91,"Roman Deryckère, Quincy (MIVA)",Sr.,6-4,MH,73,14,33,47,0.644
92,"Michael de la Cruz, North Greenville (Conference Carolinas)",Jr.,6-3,MB,84,5,49,54,0.643
93,"Josh Aruya, UC Santa Barbara (Big West)",Fr.,6-9,MB,86,3,52,55,0.640
94,"Shaphar Grant, Queens (NC) (MIVA)",Sr.,6-3,MB,93,8,51,59,0.634
95,"Chaz Galloway, Hawaii (Big West)",Sr.,6-3,OH,71,6,39,45,0.634
96,"Sotiris Siapanis, Long Beach St. (Big West)",Jr.,6-3,OH,97,2,59,61,0.629
97,"Paul Stommel, Charleston (WV) (EIVA)",Jr.,6-3,S,86,6,48,54,0.628
98,"Ryan Parker, Saint Francis (NEC)",Sr.,6-3,S,101,5,58,63,0.624
99,"Alaka‘i Todd, Hawaii (Big West)",Sr.,6-8,OPP,97,8,52,60,0.619
100,"RaShawn Bonner, Lindenwood (MIVA)",Sr.,6-8,OH,99,12,49,61,0.616
