Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Pts,Per Set
23,"Nyherowo Omene, Princeton (EIVA)",Jr.,6-7,,89,311,36,3,40,0,4.16
24,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",Sr.,6-0,OH,100,367,27,6,26,0,4.13
25,"Garret Schnitker, Charleston (WV) (EIVA)",Sr.,6-6,RS,97,358,16,6,38,0,4.11
26,"AJ Lewis, Lindenwood (MIVA)",Sr.,6-5,OH,96,309,46,12,35,0,4.01
27,"Omar Hoyos, George Mason (EIVA)",Sr.,6-6,OH,106,343,58,4,39,0,4.00
28,"Phinehas Wiley, Dominican (NY) (ECC)",Fr.,6-5,OH,84,287,29,11,17,0,3.99
29,"Pablo Zamar, Erskine (Conference Carolinas)",Jr.,6-4,OH,69,246,12,2,29,0,3.98
30,"Clarke Godbold, Long Beach St. (Big West)",Sr.,6-5,OPP,74,239,20,6,58,0,3.97
31,"Diego Rosich, North Greenville (Conference Carolinas)",Sr.,6-5,OH,75,257,25,5,21,0,3.97
32,"Zach Puentes, Belmont Abbey (Conference Carolinas)",So.,6-2,OH,94,327,16,7,41,0,3.94
33,"Nate Meyer, Missouri S&T (DI Independent)",So.,6-3,OH,71,239,26,7,15,0,3.94
34,"Dillon Klein, Southern California (MPSF)",So.,6-6,OH,102,351,14,6,60,0,3.93
35,"Clay Wieter, Lindenwood (MIVA)",Sr.,6-6,OH,101,327,46,9,30,0,3.93
36,"Shane Wetzel, Ohio St. (MIVA)",So.,6-7,OPP,102,344,24,4,57,0,3.93
37,"Anthony Cherfan, UC San Diego (Big West)",Jr.,6-6,OPP,89,279,37,3,58,0,3.91
38,"Luke Benson, BYU (MPSF)",Jr.,6-7,OH,86,297,19,2,35,0,3.90
39,"Ian Schuller, Lindenwood (MIVA)",So.,6-5,OPP,95,319,33,4,27,0,3.89
40,"Deklan Wingo, Tusculum (DI Independent)",Jr.,6-4,OH,107,371,16,15,18,0,3.84
41,"Warren Davis, King (TN) (Conference Carolinas)",Sr.,6-0,OH,82,290,10,5,15,0,3.81
42,"Jack Bolz, George Mason (EIVA)",Sr.,6-7,OPP,79,256,24,3,35,0,3.80
43,"Sotiris Siapanis, Long Beach St. (Big West)",Jr.,6-3,OH,97,308,29,2,59,0,3.80
44,"Cameron Milligan, Daemen (NEC)",Sr.,6-6,OPP,82,252,30,8,42,0,3.79
45,"Matthew Staskunas, Belmont Abbey (Conference Carolinas)",Jr.,6-5,OH,95,300,38,1,39,0,3.77
46,"Alaka‘i Todd, Hawaii (Big West)",Sr.,6-8,OPP,97,305,27,8,52,0,3.77
47,"Skyler Varga, Long Beach St. (Big West)",Jr.,6-7,OH,95,283,33,2,80,0,3.77
48,"Jack Brinkman, Queens (NC) (MIVA)",Sr.,6-2,OH,91,285,36,6,25,0,3.73
49,"Jalen Phillips, CSUN (Big West)",Fr.,6-6,OPP,104,340,13,8,46,0,3.69
50,"Kyran  Versteegen, St. Thomas Aquinas (ECC)",Fr.,6-4,S,78,227,33,8,38,0,3.68
51,"Robert Santana, American Int'l (ECC)",So.,6-1,OH,68,223,13,4,12,0,3.62
52,"Aaron Sallade, Missouri S&T (DI Independent)",So.,6-6,OPP,71,226,13,5,25,0,3.61
53,"Luke Kraft, Maryville (MO) (DI Independent)",Fr.,6-5,OPP,95,282,28,14,37,0,3.61
54,"Ties Cornelissen, CUI (MPSF)",Fr.,6-6,OH,70,221,10,4,28,0,3.56
55,"Tyrone Sands, Central St. (OH) (SIAC)",Jr.,6-4,MH,115,348,22,7,61,0,3.54
56,"Alessandro Negri, NJIT (EIVA)",Jr.,6-4,OH,101,324,15,3,31,0,3.54
57,"Kevin Schuele, McKendree (MIVA)",Jr.,6-4,OH,88,264,33,1,24,0,3.52
58,"Hayden Frear, Mount Olive (Conference Carolinas)",Sr.,6-3,OH,86,255,25,7,25,0,3.48
59,"Jack Deuchar, Southern California (MPSF)",Jr.,6-9,OPP,100,298,25,2,43,0,3.47
60,"Kale Spencer, LIU (NEC)",So.,6-5,S,80,226,21,8,44,0,3.46
