,Team 1,Team 1 Score,Team 2,Team 2 Score
586,Roberts Wesleyan,0,American Int'l,3
587,Charleston (WV),3,Belmont Abbey,2
588,Talladega,0,King (TN),3
589,Lincoln Memorial,3,Central St. (OH),0
590,Tusculum,0,Queens (NC),3
591,Penn St.,3,Saint Francis (PA),2
592,Edward Waters,0,Life (GA),3
593,Quincy,0,Lewis,3
594,Mount Olive,1,George Mason,3
595,FDU,0,LIU,3
596,Edward Waters,2,St. Andrews,3
597,McKendree,0,Loyola Chicago,3
598,NJIT,1,Grand Canyon,3
599,Ohio St.,0,Purdue Fort Wayne,3
600,CUI,0,Pepperdine,3
601,Hawaii,2,Long Beach St.,3
602,Saint Francis (PA),2,Penn St.,3
603,Lincoln Memorial,3,King (TN),0
604,Tusculum,3,Lees-McRae,0
605,Talladega,0,Emmanuel (GA),3
606,Fontbonne,0,Maryville (MO),3
607,McKendree,0,Lindenwood,3
608,Lewis,3,Queens (NC),1
609,Ohio St.,3,Ball St.,0
610,Loyola Chicago,3,Quincy,0
611,Grand Canyon,3,CUI,0
612,Sacred Heart,2,FDU,3
613,Dominican (NY),0,Wentworth,3
614,Benedict,0,Fort Valley St.,3
615,Emmanuel (GA),3,Lees-McRae,2
616,Erskine,3,King (TN),0
617,Belmont Abbey,3,Mount Olive,0
618,Tusculum,0,George Mason,3
619,North Greenville,2,Barton,3
620,Daemen,1,Saint Francis (PA),3
621,Merrimack,1,LIU,3
622,Thomas More,0,Missouri S&T,3
623,BYU,3,Pepperdine,2
624,Grand Canyon,3,CUI,0
625,Edward Waters,,Morehouse,
626,Edward Waters,,Morehouse,
627,CSUN,1,Hawaii,3
628,St. Thomas Aquinas,3,Roberts Wesleyan,1
629,Georgetown (KY),2,Charleston (WV),3
630,Edward Waters,0,Fort Valley St.,3
631,Erskine,3,Lees-McRae,0
632,Emmanuel (GA),0,King (TN),3
633,North Greenville,3,Mount Olive,2
634,Belmont Abbey,3,Barton,0
635,Lewis,3,Queens (NC),0
636,Lindenwood,3,Quincy,2
637,Daemen,1,Saint Francis (PA),3
638,Thomas More,3,Maryville (MO),2
639,Dominican (NY),1,Harvard,3
640,Tusculum,0,George Mason,3
641,Sacred Heart,0,LIU,3
642,Loyola Chicago,0,McKendree,3
643,Princeton,3,NJIT,1
644,Benedict,3,Morehouse,1
645,Merrimack,0,FDU,3
646,Ball St.,3,Purdue Fort Wayne,2
647,BYU,3,Pepperdine,2
648,CSUN,3,Hawaii,1
649,Missouri S&T,0,Lincoln Memorial,3
650,Missouri S&T,0,Lincoln Memorial,3
651,Sacred Heart,3,American Int'l,0
652,Va. Wesleyan,0,Barton,3
653,Central St. (OH),3,Kentucky St.,0
654,Tusculum,1,North Greenville,3
655,Maryville (MO),3,Quincy,1
656,Fort Valley St.,3,Morehouse,0
657,Lees-McRae,0,King (TN),3
658,Belmont Abbey,3,Emmanuel (GA),2
659,Erskine,0,North Greenville,3
660,Mount Olive,3,Barton,0
661,Edward Waters,2,Warner,3
662,Dominican (NY),0,St. Thomas Aquinas,3
663,Tusculum,0,Emmanuel (GA),3
664,Merrimack,0,Saint Francis (PA),3
665,Queens (NC),0,Loyola Chicago,3
666,Ball St.,3,Lewis,2
667,Ohio St.,3,McKendree,2
668,Kentucky St.,0,Webber Int'l,3
669,D'Youville,2,FDU,3
670,Thomas More,3,Tusculum,2
671,Charleston (WV),3,NJIT,2
672,Central St. (OH),0,Edward Waters,3
673,Merrimack,0,Saint Francis (PA),3
674,Sacred Heart,1,George Mason,3
675,Harvard,0,Penn St.,3
676,Daemen,1,LIU,3
677,Purdue Fort Wayne,0,Lindenwood,3
678,UC Irvine,1,CSUN,3
679,CUI,0,BYU,3
680,Stanford,1,UCLA,3
681,UC San Diego,0,Long Beach St.,3
682,UC Santa Barbara,0,Hawaii,3
683,American Int'l,1,Roberts Wesleyan,3
684,Thomas More,3,Lees-McRae,2
685,Daemen,3,FDU,0
686,Kentucky St.,0,Edward Waters,3
687,Charleston (WV),0,NJIT,3
688,D'Youville,1,LIU,3
689,Sacred Heart,3,Misericordia,0
690,Queens (NC),0,Loyola Chicago,3
691,Harvard,1,Penn St.,3
692,Sacred Heart,3,Stevenson,1
693,Princeton,2,George Mason,3
